"","Em_innitials","Endosperm","SC_endothelium","SC_epidermis","SC_hillum_parenchyma","SC_hillum_vasculature","SC_inner_integument","SC_parenchyma","SC_phloem"
"Legume.fam3.00883_Glyma.11G053800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00883_Glyma.01G188400",0,0,0,0,0,0,0,1,0
"Legume.fam3.00883_Glyma.17G170300",0,0,0,1,1,0,0,0,0
"Legume.fam3.00883_Glyma.05G091200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00886_Glyma.17G156300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00886_Glyma.05G110400",1,0,0,0,0,0,0,0,0
"Legume.fam3.00886_Glyma.11G043800",0,0,0,0,0,0,0,1,0
"Legume.fam3.00886_Glyma.01G197800",0,0,0,0,0,0,0,1,0
"Legume.fam3.00888_Glyma.11G039700",0,0,1,0,0,0,0,0,0
"Legume.fam3.00888_Glyma.01G203300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00888_Glyma.05G068400",0,0,0,1,0,0,0,0,0
"Legume.fam3.00888_Glyma.17G150900",0,0,0,1,1,1,0,0,0
"Legume.fam3.00890_Glyma.11G038800",0,0,1,0,0,0,1,0,0
"Legume.fam3.00890_Glyma.01G204200",0,0,0,0,0,1,0,0,0
"Legume.fam3.00890_Glyma.05G066700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00890_Glyma.17G148800",0,0,0,0,0,0,0,0,1
"Legume.fam3.00900_Glyma.12G094500",0,0,0,0,0,0,0,0,0
"Legume.fam3.00900_Glyma.11G179000",0,0,0,0,0,0,0,0,1
"Legume.fam3.00900_Glyma.12G188600",1,0,0,0,0,0,0,0,0
"Legume.fam3.00900_Glyma.13G313000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00901_Glyma.01G049100",0,0,0,0,0,0,0,0,1
"Legume.fam3.00901_Glyma.02G108500",0,0,0,0,0,0,0,0,1
"Legume.fam3.00901_Glyma.07G229800",0,0,0,0,0,0,0,0,1
"Legume.fam3.00901_Glyma.20G035300",0,0,0,0,0,0,1,0,1
"Legume.fam3.00914_Glyma.07G223100",0,0,0,0,0,0,0,0,1
"Legume.fam3.00914_Glyma.20G022400",0,0,0,0,0,0,0,1,1
"Legume.fam3.00914_Glyma.15G126400",0,0,0,0,0,0,0,0,1
"Legume.fam3.00914_Glyma.09G019900",0,0,0,0,0,0,1,0,1
"Legume.fam3.00920_Glyma.07G027800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00920_Glyma.08G214900",0,0,0,0,0,0,0,0,0
"Legume.fam3.00920_Glyma.15G005500",0,0,0,0,0,0,1,0,0
"Legume.fam3.00920_Glyma.13G367700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00923_Glyma.19G024700",0,0,0,1,0,0,0,0,0
"Legume.fam3.00923_Glyma.13G061900",0,0,0,1,0,0,0,0,0
"Legume.fam3.00923_Glyma.09G235600",0,0,0,1,0,0,0,0,0
"Legume.fam3.00923_Glyma.18G261400",0,0,1,1,0,0,0,0,0
"Legume.fam3.00930_Glyma.07G126800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00930_Glyma.01G005000",0,0,0,0,1,0,0,0,0
"Legume.fam3.00930_Glyma.05G224400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00930_Glyma.08G031400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00937_Glyma.03G180300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00937_Glyma.19G181000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00937_Glyma.10G051900",0,0,0,0,0,0,0,0,0
"Legume.fam3.00937_Glyma.13G139300",0,1,0,0,0,0,0,0,0
"Legume.fam3.00938_Glyma.19G184100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00938_Glyma.03G183300",0,0,0,0,0,0,0,1,0
"Legume.fam3.00938_Glyma.13G142400",0,0,0,0,0,0,1,1,0
"Legume.fam3.00938_Glyma.10G055300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00946_Glyma.02G006600",1,0,0,0,0,0,0,0,0
"Legume.fam3.00946_Glyma.10G139200",0,0,0,0,0,0,0,0,1
"Legume.fam3.00946_Glyma.03G225400",0,1,0,0,0,0,0,0,0
"Legume.fam3.00946_Glyma.19G222400",0,1,0,0,0,0,0,0,0
"Legume.fam3.00956_Glyma.06G063000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00956_Glyma.04G062000",0,0,0,1,0,0,0,0,0
"Legume.fam3.00956_Glyma.17G218000",0,0,0,1,0,0,0,0,0
