RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.01G019400	33	29	48	162	426	21	68	240	169	55	13	204	10	51	44	50	122	405	32	54	230	156	29	22	184	16
Glyma.01G019600	16	5	1	7	11	4	2	15	22	5	0	7	2	18	4	9	3	18	3	6	19	14	4	2	8	0
Glyma.01G019700	18	8	4	3	42	0	4	12	4	7	3	12	1	23	16	4	10	67	3	1	18	13	12	5	28	0
Glyma.01G019800	15	33	23	30	97	8	22	82	34	52	5	60	7	17	26	20	14	114	5	18	64	32	37	8	42	15
Glyma.01G019900	5	5	4	5	20	1	2	23	12	9	2	10	0	6	2	8	4	28	2	5	17	9	23	2	15	0
Glyma.01G020100	25	125	37	105	369	61	26	186	82	312	8	137	8	22	161	42	99	383	63	22	175	97	385	14	139	15
Glyma.01G020200	5	4	5	7	29	4	20	19	24	10	5	9	10	13	2	7	10	32	10	32	18	20	14	8	22	16
Glyma.01G020300	28	18	13	30	105	19	129	61	52	28	9	76	10	21	31	15	25	98	12	145	56	60	46	12	69	11
Glyma.01G020900	25	15	35	41	140	13	39	119	70	49	19	120	6	21	14	46	30	141	16	36	113	84	45	23	124	14
Glyma.01G021200	57	0	1	2	5	1	2	3	3	1	0	5	1	93	1	2	1	4	0	3	4	0	2	0	3	1
Glyma.01G021301	4	1	0	2	13	4	0	8	9	6	6	8	1	7	2	2	4	15	3	4	7	10	6	1	9	2
Glyma.01G021400	37	37	24	47	201	35	49	154	114	79	12	106	23	29	31	44	49	201	40	42	133	151	102	26	143	27
Glyma.01G021600	9	8	7	6	22	5	7	18	17	10	7	17	0	10	3	8	11	23	9	9	21	20	15	5	26	0
Glyma.01G022100	25	3	10	9	37	5	9	22	19	24	6	25	4	38	4	15	10	45	5	16	33	25	12	5	36	5
Glyma.01G022400	0	30	1	2	1	3	1	1	4	17	2	0	0	0	48	1	2	7	1	0	2	4	5	0	6	0
Glyma.01G022500	33	0	4	2	5	0	3	2	48	4	0	27	0	76	1	1	0	3	7	6	5	54	8	1	29	0
Glyma.01G022600	6	27	5	16	106	7	7	16	8	51	13	10	0	5	28	6	14	153	14	3	14	4	65	10	15	1
Glyma.01G022700	21	15	1	4	30	5	6	26	33	10	9	15	10	24	19	5	7	42	5	6	31	40	27	7	18	16
Glyma.01G022800	7	2	2	4	9	1	1	6	8	5	1	5	2	8	6	2	3	7	0	4	5	16	10	0	9	0
Glyma.01G022900	12	2	6	10	20	4	13	22	128	9	18	112	3	8	6	6	14	35	3	15	34	202	4	20	141	11
