RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.16G151900	1	2	0	4	3	0	3	12	1	2	1	16	1	7	1	3	15	3	3	1	9	2	1	4	15	0
Glyma.16G152100	7	4	4	2	23	0	11	21	8	16	16	12	1	5	2	4	1	16	0	25	17	17	4	28	14	1
Glyma.16G152500	15	21	20	10	78	22	18	54	60	29	4	60	12	16	28	28	10	79	15	29	66	74	37	7	49	15
Glyma.16G152700	4	2	4	4	36	2	5	32	13	1	0	28	0	3	2	15	11	53	0	8	38	26	2	2	39	0
Glyma.16G153200	24	3	3	10	34	11	4	21	36	20	4	31	7	26	7	6	12	40	6	9	28	43	15	6	31	4
Glyma.16G153300	1	2	4	2	22	4	4	13	8	22	1	7	6	2	5	4	2	23	1	11	19	9	17	3	18	2
Glyma.16G153500	3	3	6	6	30	3	0	14	28	44	7	10	8	5	11	16	6	45	5	11	28	26	46	2	16	2
Glyma.16G153600	13	1	13	9	29	6	15	31	47	22	3	39	3	25	13	25	26	68	10	20	54	48	23	5	67	9
Glyma.16G153700	1	1	1	1	13	5	6	11	4	8	3	8	1	2	3	0	7	21	2	12	17	5	3	0	5	1
Glyma.16G153800	19	15	26	24	91	18	33	104	65	44	11	74	14	24	25	22	27	144	26	39	91	102	68	15	122	15
Glyma.16G153900	3	6	4	12	31	2	8	36	16	12	6	22	1	7	12	4	13	47	10	11	47	40	18	6	26	3
Glyma.16G154200	19	4	21	16	73	3	8	37	127	11	13	35	26	42	5	22	21	83	3	12	49	137	15	14	64	18
Glyma.16G154300	0	3	9	6	37	3	2	17	16	14	2	10	4	14	4	11	8	56	3	5	30	20	16	3	19	5
Glyma.16G154400	32	20	27	29	116	16	33	100	83	39	5	68	13	35	30	41	31	138	21	29	102	91	73	15	111	16
Glyma.16G154900	5	2	5	0	12	2	2	6	2	6	0	3	1	7	3	5	2	14	1	10	7	6	4	0	5	1
Glyma.16G155000	25	11	8	21	53	12	17	43	52	26	7	95	5	63	13	24	32	66	22	30	78	57	17	12	235	24
Glyma.16G155100	17	14	2	3	22	8	8	17	24	39	4	24	6	44	9	7	9	25	9	10	23	25	33	8	35	10
Glyma.16G155300	19	28	8	20	90	7	19	52	124	72	25	52	116	53	16	21	26	87	8	35	56	221	37	21	101	120
Glyma.16G155500	4	5	2	4	26	3	5	21	20	5	3	8	3	6	6	3	2	18	4	12	15	15	7	4	22	3
Glyma.16G155600	21	20	12	23	62	15	20	42	63	35	6	52	9	34	16	28	23	83	8	30	63	62	41	11	67	20
Glyma.16G155700	35	23	26	35	130	18	44	104	71	58	16	109	17	36	37	46	28	157	31	45	98	94	83	15	116	14
Glyma.16G155800	15	1	10	13	54	12	18	45	48	24	4	46	5	30	13	11	15	72	14	9	46	53	26	7	44	4
Glyma.16G156100	1	2	0	3	17	8	4	16	3	9	0	10	1	0	5	2	0	14	9	1	28	6	17	1	5	3
Glyma.16G156200	4	8	8	6	46	13	5	61	18	84	0	20	6	5	7	16	9	58	8	12	66	15	92	2	31	10
Glyma.16G156300	9	4	2	1	6	2	4	27	9	30	0	15	2	11	1	5	2	23	4	4	44	8	52	0	12	0
Glyma.16G156400	7	3	9	4	34	6	7	37	17	17	2	19	0	6	6	14	8	47	4	5	29	15	17	6	26	1
Glyma.16G156500	45	0	2	1	2	0	1	8	5	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.16G157100	31	8	27	9	306	22	495	185	50	27	5	56	3	79	18	33	19	487	32	604	254	41	73	20	74	8
Glyma.16G157400	3	2	7	3	22	2	3	13	6	25	1	7	0	0	1	21	11	20	1	7	5	4	27	6	17	3
Glyma.16G157600	1	2	2	3	7	1	1	5	3	7	1	6	2	5	1	2	1	11	1	5	7	6	5	4	10	0
Glyma.16G157900	6	10	8	12	45	14	11	41	24	24	5	18	4	6	11	11	12	70	14	15	37	23	23	5	43	5
Glyma.16G158000	22	9	14	15	61	9	16	37	51	20	5	37	6	23	11	18	19	65	11	10	41	41	28	12	48	5
Glyma.16G158100	13	17	18	24	61	8	17	33	23	31	4	37	7	14	5	22	7	61	6	10	29	14	33	2	21	5
Glyma.16G158700	34	9	24	60	361	9	27	213	55	21	4	142	10	51	9	34	72	397	7	14	232	64	31	16	196	6
Glyma.16G159000	25	9	3	4	8	21	7	12	18	1	1	18	4	41	14	1	11	18	20	6	27	35	9	2	32	5
Glyma.16G159100	6	98	4	36	53	46	6	32	25	62	1	44	3	22	119	17	36	47	36	4	33	32	76	1	38	5
Glyma.16G159200	23	98	14	52	123	36	21	128	97	119	7	164	22	22	117	46	47	157	64	15	140	153	190	7	215	25
Glyma.16G159300	10	57	15	22	79	20	10	93	88	133	7	115	14	8	71	33	33	151	48	13	142	116	150	4	178	22
Glyma.16G159700	8	11	14	18	113	13	13	79	53	26	2	38	7	13	10	28	30	149	5	10	82	88	36	10	64	12
Glyma.16G159900	7	5	5	1	19	4	5	17	19	7	1	10	1	9	2	2	4	25	6	6	9	19	8	5	16	6
Glyma.16G160100	29	19	22	19	72	10	19	61	46	40	14	60	12	25	21	21	13	93	12	19	60	36	44	12	55	11
Glyma.16G160600	2	1	67	7	147	3	2	10	37	10	28	18	1	2	1	117	12	177	3	6	26	88	15	47	17	6
Glyma.16G161300	2	0	25	1	63	0	1	5	4	7	1	9	0	1	1	45	3	123	2	3	7	1	14	4	8	2
Glyma.16G161500	7	5	11	24	112	7	51	77	41	16	14	50	16	9	3	17	26	122	7	68	113	55	21	18	53	12
Glyma.16G161600	10	1	5	7	42	4	4	29	17	7	2	15	0	12	2	3	13	42	0	4	23	24	1	7	17	1
Glyma.16G163200	30	221	21	83	272	131	88	312	169	689	23	194	42	35	235	44	80	324	147	125	324	165	770	18	232	40
Glyma.16G163500	7	0	2	12	34	4	7	24	24	3	1	14	6	12	3	7	6	45	4	8	25	28	12	6	25	9
Glyma.16G163600	1	4	4	2	22	4	5	19	15	17	1	16	3	9	5	3	1	24	2	5	23	11	16	4	16	2
Glyma.16G163700	8	4	1	11	8	24	22	42	11	6	1	30	5	5	3	8	12	18	14	18	19	11	2	5	24	0
Glyma.16G163800	3	1	5	3	12	5	8	16	8	0	1	13	2	1	1	2	1	19	2	1	24	15	8	4	16	7
Glyma.16G163900	3	0	4	3	17	1	5	46	17	8	2	13	1	6	1	6	3	11	0	4	34	16	6	0	10	0
Glyma.16G164200	36	1	6	1	9	5	5	20	97	8	5	44	2	105	3	9	1	13	3	19	24	159	3	11	69	1
Glyma.16G164500	25	28	28	39	115	28	18	107	48	67	10	82	9	42	50	26	24	141	19	28	104	57	110	19	105	18
Glyma.16G164700	16	14	12	9	52	9	13	42	38	29	5	30	7	20	22	11	17	68	10	19	42	41	48	8	40	3
Glyma.16G164900	4	4	0	7	26	0	2	26	15	4	5	12	4	6	9	11	3	37	3	4	27	27	7	3	13	3
Glyma.16G165000	32	36	26	72	215	35	31	171	109	86	8	122	20	35	50	50	73	259	37	33	166	125	126	27	160	20
Glyma.16G165100	4	4	0	5	9	1	5	11	12	9	3	10	1	13	2	2	2	24	3	8	17	18	6	0	23	2
Glyma.16G165200	3	5	6	18	77	13	14	45	20	24	3	46	6	11	10	12	18	80	11	13	44	29	14	5	48	4
Glyma.16G165500	13	10	10	19	74	12	24	50	37	14	14	43	5	17	17	16	18	74	8	16	45	29	17	6	37	9
Glyma.16G165600	22	1	0	2	3	2	1	3	3	4	0	2	0	19	0	1	1	9	1	2	16	3	4	3	3	0
Glyma.16G165800	9	3	16	16	63	8	9	25	26	19	1	44	5	14	5	8	11	65	11	8	25	17	22	5	33	5
Glyma.16G165900	47	62	76	24	197	12	63	101	135	66	15	149	8	58	32	93	23	273	15	108	156	161	39	23	226	10
Glyma.16G166500	7	0	2	4	28	3	6	24	11	13	0	9	1	3	4	3	2	22	1	2	33	15	22	1	16	2
Glyma.16G166600	23	33	28	38	159	22	30	94	58	66	37	81	29	30	23	30	15	121	5	35	63	38	50	20	68	28
Glyma.16G166800	4	3	11	10	26	4	6	20	8	12	6	9	6	11	2	16	6	42	3	8	26	9	12	0	22	9
Glyma.16G167000	46	24	23	45	169	10	30	136	124	48	8	132	11	51	33	54	60	212	28	46	170	179	52	17	169	23
Glyma.16G167200	18	19	27	20	48	17	11	121	27	48	3	44	4	24	20	41	19	59	17	10	170	36	72	1	70	4
Glyma.16G167500	3	2	10	9	35	4	8	45	2	7	1	19	0	5	3	19	4	38	5	6	39	11	7	0	8	0
Glyma.16G167600	75	20	55	69	348	28	84	342	102	60	26	239	8	70	35	102	114	409	23	102	328	96	46	28	252	14
Glyma.16G167800	11	12	4	19	35	7	15	31	21	16	4	29	2	12	5	4	8	55	6	10	34	43	20	4	40	0
Glyma.16G167900	5	0	3	3	24	3	5	17	13	3	2	16	0	5	4	5	3	20	4	8	8	12	7	7	11	5
Glyma.16G168000	8	7	12	35	172	7	14	114	31	11	7	101	6	16	7	24	38	211	8	10	133	46	18	11	123	7
Glyma.16G168300	11	14	21	19	85	17	21	67	45	43	6	45	14	26	20	21	15	96	14	8	71	52	51	6	61	4
Glyma.16G168400	7	5	2	1	13	6	3	14	4	8	3	14	1	3	4	5	0	8	1	3	20	11	17	3	16	6
Glyma.16G169700	5	6	1	6	34	1	5	30	16	100	4	24	4	8	11	2	5	40	0	1	23	18	99	2	12	3
Glyma.16G170200	5	6	6	4	21	5	5	22	12	13	1	19	1	17	8	13	2	47	5	6	21	15	17	4	25	3
Glyma.16G170500	7	5	0	3	12	9	7	7	12	23	0	8	0	2	5	4	0	12	1	4	13	15	16	0	11	2
Glyma.16G171900	13	14	10	6	34	6	10	28	31	31	4	34	3	12	17	15	10	37	11	15	31	36	33	7	53	7
Glyma.16G172400	0	2	1	1	4	3	0	3	3	6	32	5	2	2	1	2	0	5	0	2	5	1	5	62	3	0
Glyma.16G172500	36	23	12	9	19	4	8	22	112	6	1	80	4	64	14	28	12	32	3	9	19	162	15	6	128	15
Glyma.16G173000	0	0	3	0	8	2	4	5	3	57	2	3	0	4	1	10	1	11	2	1	5	1	45	0	11	0
Glyma.16G173100	5	1	12	4	7	0	5	6	16	1	0	8	0	16	1	25	5	10	0	3	8	10	2	5	13	2
Glyma.16G173700	49	31	13	39	80	138	21	274	67	42	7	200	14	70	38	15	43	94	83	45	278	62	22	7	281	13
Glyma.16G175200	15	10	70	49	277	8	13	42	27	23	4	61	11	14	22	140	40	333	6	11	46	20	32	5	55	5
Glyma.16G175300	13	23	60	41	163	9	13	36	22	34	4	63	7	27	26	95	37	222	13	21	57	27	64	6	66	3
Glyma.16G175400	14	8	26	10	42	7	5	24	22	18	3	23	2	40	9	34	8	78	10	11	27	22	26	1	23	1
Glyma.16G175600	4	1	2	13	36	0	3	10	5	3	1	9	3	2	2	3	2	38	1	2	5	3	5	4	15	0
Glyma.16G176000	4	1	8	20	102	5	8	13	8	9	3	13	1	13	3	4	14	92	1	3	23	8	11	2	17	1
Glyma.16G176100	33	31	26	131	222	27	36	234	101	91	35	199	11	26	32	23	168	232	25	31	298	146	100	84	287	11
Glyma.16G176200	15	23	27	47	167	27	31	118	53	125	11	110	10	22	40	44	44	195	28	39	135	89	127	11	135	11
Glyma.16G176300	2	1	1	2	11	1	1	16	8	8	2	14	3	3	0	1	3	16	1	0	6	16	12	0	5	0
Glyma.16G176600	3	5	6	4	24	14	6	61	30	65	1	34	1	6	4	11	6	53	3	2	105	36	77	1	56	4
Glyma.16G176800	12	12	19	10	81	12	8	91	30	70	13	57	0	29	17	21	29	120	27	13	163	54	88	13	116	5
Glyma.16G176900	3	0	18	2	16	3	2	19	10	35	2	9	1	7	2	36	2	26	2	3	36	8	39	1	13	2
Glyma.16G177100	3	4	4	0	23	3	2	24	18	15	1	16	1	9	2	10	3	36	5	6	20	21	11	2	9	2
Glyma.16G177300	5	0	3	0	7	1	1	11	8	6	1	10	0	6	1	1	0	11	0	2	14	7	7	4	5	1
Glyma.16G177400	4	2	4	1	25	4	2	21	6	6	1	9	4	3	2	8	6	41	5	6	15	13	10	1	20	6
Glyma.16G177900	22	40	62	39	432	53	49	166	90	755	14	144	11	47	23	135	30	676	69	46	156	97	851	21	208	18
Glyma.16G178000	37	54	154	73	525	71	58	230	184	384	49	296	37	66	81	309	183	1084	99	83	489	295	536	95	733	56
Glyma.16G178100	0	0	9	2	10	0	3	9	4	16	0	18	0	0	3	15	4	18	3	7	13	18	19	3	43	0
Glyma.16G178400	2	1	11	2	14	3	4	14	13	24	3	12	0	5	2	30	3	40	0	6	26	17	31	9	69	0
Glyma.16G178500	12	8	59	16	105	14	18	51	80	205	11	104	5	17	23	97	42	248	29	38	82	148	274	17	238	8
Glyma.16G178700	20	27	19	12	78	16	17	65	94	69	7	77	4	18	28	34	23	120	23	21	68	126	89	11	102	7
Glyma.16G178800	6	5	2	3	27	8	5	10	9	9	5	24	1	13	4	5	8	28	10	7	9	11	19	4	22	6
Glyma.16G178900	6	16	9	10	58	8	8	43	18	33	6	27	5	8	19	14	9	57	4	3	38	21	42	1	17	1
Glyma.16G179100	23	40	13	55	170	39	17	207	88	36	21	216	3	17	69	9	60	222	50	18	196	90	60	17	205	3
Glyma.16G179200	1	2	5	3	14	3	3	13	8	6	2	15	0	9	4	2	6	11	5	1	9	13	4	4	6	2
Glyma.16G179300	12	14	27	35	127	17	27	72	39	19	8	73	21	24	29	33	35	154	12	26	66	67	33	6	71	14
Glyma.16G179500	29	23	34	36	167	11	18	93	103	22	12	85	12	37	24	42	44	205	15	33	105	126	52	18	125	27
Glyma.16G179800	5	1	6	2	14	2	3	6	9	7	0	10	0	5	5	5	0	16	2	3	13	15	12	3	9	0
Glyma.16G179900	9	6	21	12	32	7	13	27	31	43	1	22	2	5	4	25	4	24	4	12	24	19	29	3	30	2
Glyma.16G180000	3	3	2	10	16	1	0	5	3	7	3	7	0	1	4	1	4	17	2	3	9	4	4	1	8	0
Glyma.16G180500	3	1	48	5	21	2	3	8	7	1	2	8	6	3	2	87	0	25	1	4	11	8	11	3	11	14
Glyma.16G180600	4	1	26	32	131	4	15	51	15	4	3	23	7	18	6	50	44	188	1	18	66	21	12	9	32	6
Glyma.16G181000	19	7	12	10	47	8	11	43	59	18	6	42	5	19	2	17	14	49	7	16	42	45	16	7	39	7
Glyma.16G181200	1	0	47	1	2	0	1	0	0	2	0	3	0	1	0	58	1	1	0	3	3	2	5	0	1	0
Glyma.16G181500	10	7	12	11	89	7	8	38	42	18	5	29	7	14	12	14	8	83	5	5	38	35	20	4	39	8
Glyma.16G181700	17	11	8	14	72	15	16	71	84	36	12	40	3	41	14	22	25	102	10	18	62	97	21	7	60	8
Glyma.16G182000	3	1	0	4	18	3	2	10	28	3	1	12	4	5	1	8	7	26	1	7	13	42	6	3	9	14
Glyma.16G182100	2	5	6	2	21	5	1	10	8	27	7	12	0	3	3	5	3	23	4	3	17	8	14	7	13	1
Glyma.16G182200	11	4	8	6	34	5	3	39	18	24	3	21	2	10	5	12	7	42	3	6	40	21	16	1	26	2
Glyma.16G182300	9	3	2	6	21	0	8	32	25	7	1	17	2	23	8	8	11	16	6	7	22	25	8	1	26	1
Glyma.16G182400	1	4	0	4	38	2	23	8	8	5	1	11	0	1	3	2	3	63	1	12	10	9	6	2	6	0
Glyma.16G182500	79	86	76	182	605	91	257	481	278	311	53	463	26	114	118	138	162	784	113	298	556	358	350	75	576	27
Glyma.16G189000	2	1	18	1	25	0	2	6	8	8	4	16	4	4	1	12	1	27	0	1	4	8	10	4	23	3
Glyma.16G189100	6	0	5	5	25	2	1	10	10	1	3	16	1	6	2	4	4	19	4	4	13	23	7	0	9	0
Glyma.16G189302	9	2	5	3	13	6	4	21	18	18	4	9	1	11	2	5	2	6	0	4	14	13	19	6	12	1
Glyma.16G189500	4	9	16	16	103	16	17	75	46	20	2	43	82	7	9	29	22	129	16	7	72	54	26	8	38	74
Glyma.16G189700	10	3	5	2	17	37	20	9	54	2	0	49	3	14	1	6	1	10	17	37	12	53	6	1	71	0
Glyma.16G194000	19	3	4	1	17	1	5	11	25	7	4	14	5	25	3	5	8	35	2	11	15	17	16	1	24	9
Glyma.16G194100	15	4	3	11	26	5	8	21	16	14	2	13	4	13	4	7	7	35	3	11	25	29	5	4	25	2
Glyma.16G195300	8	3	1	7	31	10	4	22	14	7	2	3	6	13	3	3	4	46	1	9	12	17	12	5	14	3
Glyma.16G195400	10	8	9	12	58	6	9	41	36	39	6	35	9	12	13	13	9	77	7	18	57	47	40	10	56	5
Glyma.16G195700	9	1	5	4	12	3	2	10	13	5	1	8	0	8	0	5	3	19	1	0	7	12	2	1	7	1
Glyma.16G195900	2	4	6	5	26	0	2	21	20	7	1	13	0	2	2	1	5	25	4	5	16	10	4	3	15	3
Glyma.16G196000	0	3	0	7	59	1	1	21	9	1	11	21	0	1	0	7	4	77	1	2	26	13	5	8	6	1
Glyma.16G196200	22	29	26	42	212	33	21	124	69	87	15	126	5	24	39	23	60	238	26	33	116	96	105	21	129	11
Glyma.16G196400	12	10	7	7	38	2	16	42	35	9	6	34	24	15	13	15	12	31	14	14	38	34	13	4	36	46
Glyma.16G196700	10	1	80	4	110	1	7	52	32	29	2	23	4	12	4	100	10	153	0	7	52	27	43	6	35	3
Glyma.16G196800	7	5	2	7	49	12	5	36	38	35	4	28	19	5	3	8	9	45	4	4	40	32	30	10	20	34
Glyma.16G196900	9	4	13	15	30	4	15	28	93	13	1	46	4	23	3	21	3	35	2	13	23	111	19	2	54	3
Glyma.16G197700	3	1	3	4	17	1	1	11	12	3	2	10	0	3	4	3	0	17	0	2	12	10	7	0	10	3
Glyma.16G197800	8	1	4	8	109	4	17	73	40	10	8	31	8	9	3	11	7	113	9	7	63	52	19	3	31	13
Glyma.16G197900	16	35	29	90	171	20	14	88	60	23	9	95	13	12	59	28	60	172	27	11	83	70	37	3	79	15
Glyma.16G198200	25	31	19	33	153	32	23	123	69	76	10	108	24	30	40	44	31	138	31	28	152	86	109	10	99	30
Glyma.16G198300	35	16	41	37	166	27	39	115	81	55	8	95	25	44	22	58	35	202	31	53	123	93	72	10	121	14
Glyma.16G198400	3	2	1	1	16	0	0	16	7	5	2	7	0	3	3	0	2	27	2	1	20	6	9	1	13	0
Glyma.16G198500	21	10	58	29	181	6	19	90	45	29	4	56	40	18	10	70	29	232	13	35	92	57	57	13	64	45
Glyma.16G198600	22	11	63	27	233	6	44	101	54	38	7	97	52	18	26	59	25	234	5	26	84	68	50	9	86	56
Glyma.16G199100	3	7	10	10	64	4	7	30	9	49	1	16	5	1	10	13	12	87	7	11	43	9	54	3	24	6
Glyma.16G199200	13	14	24	21	182	10	6	74	34	23	3	44	16	20	10	26	26	235	20	8	104	39	40	3	59	14
Glyma.16G199300	12	13	12	19	80	8	14	65	46	29	9	47	7	20	21	17	24	100	8	28	71	48	34	4	47	2
Glyma.16G199400	17	3	4	11	33	9	14	69	44	16	4	36	8	12	8	8	8	38	2	4	54	40	19	5	38	9
Glyma.16G200200	6	4	2	3	8	0	4	3	9	5	0	10	1	10	2	9	4	7	1	2	12	12	8	4	13	1
Glyma.16G200400	8	3	5	12	93	5	12	104	8	4	1	17	0	15	3	8	13	101	2	3	98	11	6	1	22	0
Glyma.16G200500	36	21	28	45	187	30	54	133	98	49	11	129	18	33	27	43	38	212	16	41	150	124	67	19	127	32
Glyma.16G200600	16	2	14	2	35	5	9	50	54	6	3	42	25	16	3	13	5	51	7	8	60	45	6	4	46	20
Glyma.16G200900	2	4	5	6	29	2	3	17	11	32	8	12	0	6	3	6	2	28	3	0	12	6	29	4	16	1
Glyma.16G201500	6	19	8	14	128	6	4	56	56	88	3	24	9	10	21	7	9	83	8	7	51	44	96	5	37	7
Glyma.16G201600	7	16	9	5	38	6	12	37	32	30	3	32	10	15	16	17	7	51	13	18	42	39	42	6	33	6
Glyma.16G202400	2	1	17	3	59	1	2	35	12	7	0	25	0	3	2	22	12	118	1	0	34	9	8	1	40	3
Glyma.16G202700	14	2	4	8	36	11	16	34	29	22	3	27	1	7	7	10	6	58	4	10	33	32	17	7	30	4
Glyma.16G203100	1	0	3	4	14	2	3	4	8	5	1	6	1	1	1	4	2	18	1	2	5	8	1	1	9	5
Glyma.16G203200	12	13	11	20	44	9	13	35	45	12	7	36	17	11	14	15	19	53	8	11	30	42	18	4	32	17
Glyma.16G203600	4	2	2	2	3	3	1	6	5	4	1	11	0	5	2	2	1	10	1	4	7	3	6	2	14	0
Glyma.16G203800	2	5	7	2	10	3	2	27	17	12	7	34	6	5	9	3	7	13	8	4	13	27	11	5	32	3
Glyma.16G203900	33	10	7	19	37	8	5	29	32	19	5	30	2	21	10	11	16	37	7	12	29	44	24	6	42	5
Glyma.16G204000	4	2	3	1	15	0	3	10	6	4	1	5	1	5	1	1	1	14	0	4	8	12	3	1	4	2
Glyma.16G204100	5	2	0	1	8	1	4	8	10	9	0	0	0	1	1	1	1	14	1	4	4	9	9	1	6	1
Glyma.16G204200	4	0	1	1	7	0	2	6	10	4	1	6	3	5	1	1	1	11	1	2	4	9	2	3	9	2
Glyma.16G204266	3	3	0	2	7	1	2	9	9	8	5	5	0	7	2	2	5	17	3	4	12	7	1	2	6	0
Glyma.16G204400	16	8	5	20	40	12	8	33	38	17	6	26	4	12	9	13	24	45	14	11	35	46	26	8	39	6
Glyma.16G204500	4	0	6	4	18	0	7	3	2	12	1	3	0	1	1	12	3	24	0	11	6	1	12	1	2	0
Glyma.16G204600	2	1	0	0	6	0	4	9	12	1	2	5	2	3	2	1	1	7	3	9	5	15	4	2	5	0
Glyma.16G204900	15	13	7	16	60	29	10	91	29	32	3	53	6	13	17	11	28	87	8	15	103	46	24	13	72	8
Glyma.16G205200	22	31	31	50	189	18	50	137	99	49	15	124	13	34	13	41	59	201	17	37	109	70	33	14	101	14
Glyma.16G205300	2	3	3	4	8	0	2	3	4	11	3	6	1	2	4	3	7	18	1	4	4	6	4	1	12	0
Glyma.16G205500	10	2	2	3	10	1	1	14	11	7	2	9	1	7	0	2	6	13	4	1	13	11	7	2	12	4
Glyma.16G205700	12	12	5	8	46	8	11	28	36	21	2	26	6	13	6	11	18	63	6	14	40	40	21	4	37	16
Glyma.16G205900	8	7	10	4	47	5	9	24	17	18	6	21	5	9	11	11	10	43	6	10	27	20	16	5	31	2
Glyma.16G206500	9	4	2	7	28	3	3	16	25	16	0	11	3	13	12	7	5	37	5	2	20	37	7	5	15	2
Glyma.16G207000	2	3	3	6	15	3	1	13	10	9	1	18	0	7	4	3	8	13	1	5	17	12	15	1	14	3
Glyma.16G207100	1	3	3	3	17	0	4	9	6	9	1	6	1	2	4	3	3	14	2	6	10	6	2	2	9	1
Glyma.16G207200	10	6	12	10	51	17	15	50	39	23	3	37	9	19	19	15	16	56	11	23	53	41	27	6	35	9
Glyma.16G207300	21	7	9	12	36	4	13	24	25	16	2	22	4	19	2	14	6	37	5	16	23	19	14	2	23	7
Glyma.16G207400	16	3	1	4	5	2	5	11	14	8	0	16	1	12	0	3	4	19	4	4	8	22	7	2	14	3
Glyma.16G207600	4	4	3	2	9	1	0	14	17	3	0	5	12	5	4	4	0	16	1	3	8	19	1	2	7	13
Glyma.16G207700	3	2	1	2	8	2	1	3	5	78	1	5	1	2	1	3	2	11	0	2	1	1	75	0	4	0
Glyma.16G207800	12	44	20	26	65	33	24	125	86	47	3	113	77	18	90	44	38	105	29	40	236	129	54	20	188	93
Glyma.16G207900	93	43	51	56	173	32	67	178	163	95	20	177	14	96	36	85	51	238	32	66	173	208	101	38	181	29
Glyma.16G208300	7	0	8	4	42	3	2	36	13	9	2	13	1	7	0	18	3	51	2	4	26	18	5	2	20	2
Glyma.16G208400	7	4	8	17	110	4	3	38	20	46	7	25	2	5	4	18	37	152	2	6	47	22	40	11	19	1
Glyma.16G208600	12	8	8	9	49	12	6	39	16	14	8	26	2	9	7	17	7	53	11	10	25	32	26	2	25	0
Glyma.16G208700	18	11	6	12	44	6	14	36	29	15	4	32	6	45	11	10	8	62	12	13	26	50	23	8	32	4
Glyma.16G208800	4	2	4	6	15	2	6	16	7	11	0	8	1	2	2	4	3	31	0	6	16	11	15	3	14	2
Glyma.16G209400	1	4	48	8	9	1	1	4	2	4	0	1	1	0	6	86	7	16	0	6	8	2	1	1	4	1
Glyma.16G209500	6	7	13	6	82	3	2	35	40	10	17	31	1	5	8	34	26	153	5	14	62	60	21	25	49	4
Glyma.16G209600	29	16	19	36	157	26	42	103	62	62	6	72	10	25	27	29	32	167	17	41	125	59	73	19	86	12
Glyma.16G209800	7	3	23	1	172	4	7	33	184	14	0	33	7	8	7	36	13	238	5	11	17	230	11	7	62	28
Glyma.16G209900	1	2	11	1	20	1	0	13	6	4	0	12	0	3	1	11	4	22	1	4	12	11	3	0	8	0
Glyma.16G210200	5	3	1	4	19	3	2	12	11	19	1	1	0	7	4	6	8	33	2	8	5	7	31	2	16	2
Glyma.16G210400	13	8	7	9	54	11	9	33	34	27	3	34	2	19	12	14	17	69	6	10	39	41	27	4	32	3
Glyma.16G210500	4	5	3	7	22	4	3	31	14	12	0	12	3	7	5	8	6	23	5	2	21	14	12	1	15	1
Glyma.16G210600	234	528	238	661	2169	440	244	1115	857	1187	153	1715	127	225	559	323	688	2442	469	221	1044	1080	1830	197	1733	174
Glyma.16G210800	19	29	147	178	296	82	14	97	215	154	22	322	19	25	23	277	165	311	106	35	186	347	241	27	401	16
Glyma.16G210900	6	3	2	2	17	3	1	11	7	5	0	9	4	8	1	5	4	15	4	3	17	9	4	1	8	1
Glyma.16G211100	13	7	9	16	90	7	6	53	45	20	6	56	12	15	11	18	20	85	21	9	62	63	22	7	54	9
Glyma.16G211400	14	12	71	14	570	8	21	207	45	425	9	87	2	9	8	82	33	750	8	11	204	44	503	9	100	10
Glyma.16G211600	10	0	3	5	25	3	1	12	13	15	1	12	1	9	3	2	4	18	0	3	14	4	27	4	11	1
Glyma.16G211700	42	22	4	10	27	15	18	24	23	16	1	47	2	97	39	10	10	50	15	12	21	42	18	6	49	3
Glyma.16G211800	5	5	1	1	10	3	2	9	9	1	1	10	1	18	5	1	3	7	3	4	3	4	6	0	7	4
Glyma.16G212500	11	5	1	14	49	3	9	77	14	5	10	36	3	12	9	10	44	74	7	6	175	25	4	5	52	8
Glyma.16G212700	15	5	7	13	57	8	14	23	42	16	4	36	6	15	11	14	16	79	13	18	43	60	16	5	47	3
Glyma.16G212800	15	12	14	18	112	21	21	78	34	32	12	64	4	20	18	25	26	143	16	21	100	55	42	21	65	5
Glyma.16G212900	26	23	82	54	322	13	25	321	48	57	7	78	12	26	24	125	71	423	7	15	288	55	100	10	76	5
Glyma.16G213000	24	20	18	26	87	13	24	101	116	26	6	95	8	35	31	21	33	110	28	14	112	99	41	9	143	8
Glyma.16G213100	5	5	4	7	36	4	1	29	19	8	3	16	3	10	4	10	4	43	6	9	26	27	8	7	19	2
Glyma.16G213200	8	10	4	10	47	11	8	29	23	33	3	25	5	15	12	12	7	29	9	9	36	17	45	12	29	4
Glyma.16G213300	17	9	9	7	26	2	4	38	60	14	5	24	11	42	2	11	6	45	5	12	43	52	25	5	54	12
