RNA_en1:Cortex_Epidermis	RNA_en1:Endodermis	RNA_en1:Nodule_infected_cell	RNA_en1:Nodule_meritem	RNA_en1:Nodule_uninfected_cell	RNA_en1:Pericycle	RNA_en1:Phloem	RNA_en1:Procambium	RNA_en1:Xylem	RNA_en2:Cortex_Epidermis	RNA_en2:Endodermis	RNA_en2:Nodule_infected_cell	RNA_en2:Nodule_meritem	RNA_en2:Nodule_uninfected_cell	RNA_en2:Pericycle	RNA_en2:Phloem	RNA_en2:Procambium	RNA_en2:Xylem
Glyma.20G198000	1980	19	86	66	125	178	39	315	17	1752	21	48	30	140	95	31	291	12
Glyma.20G198100	89	0	5	3	13	4	0	10	3	52	0	4	3	6	2	1	12	1
Glyma.20G198200	75	0	13	3	7	2	0	10	0	77	1	8	1	7	0	0	4	1
Glyma.20G198300	305	1	53	6	72	14	13	62	1	285	2	60	8	58	9	4	56	1
Glyma.20G198402	243	3	32	7	34	10	7	54	5	242	3	20	3	18	14	4	34	5
Glyma.20G198500	31	0	7	1	4	1	2	3	1	36	0	3	0	5	1	0	5	3
Glyma.20G198400	182	1	39	16	35	9	5	31	0	164	2	33	10	41	6	2	27	3
Glyma.20G198600	264	4	30	7	14	16	4	58	4	251	2	17	1	33	10	4	33	1
Glyma.20G198666	93	0	14	4	8	3	2	7	1	98	0	4	4	7	2	2	13	3
Glyma.20G198732	44	0	5	2	8	1	0	7	0	40	0	2	0	7	0	1	9	0
Glyma.20G198800	139	3	19	8	18	6	4	28	4	118	2	22	6	22	2	1	24	3
Glyma.20G198900	146	0	16	9	14	14	6	37	2	110	2	19	7	19	4	1	18	2
Glyma.20G199000	141	1	19	12	22	5	4	29	3	125	2	13	6	31	1	1	18	1
Glyma.20G199100	28	0	4	3	5	4	0	4	0	24	0	5	0	3	0	1	3	0
Glyma.20G199500	56	1	10	4	14	4	1	13	0	55	2	9	1	2	4	1	14	3
Glyma.20G199800	47	0	4	2	1	3	1	8	0	0	0	0	0	0	0	0	0	0
Glyma.20G199900	70	0	13	4	10	5	2	17	0	71	1	6	2	15	2	0	7	0
Glyma.20G200000	83	1	5	3	9	5	2	21	4	47	2	2	0	9	2	2	20	3
Glyma.20G200200	199	3	139	12	64	12	5	22	0	197	0	145	11	78	2	2	16	0
Glyma.20G200300	688	12	91	34	74	46	9	124	10	580	10	88	16	66	26	4	98	9
Glyma.20G200700	169	3	14	7	22	7	3	41	2	173	3	7	2	17	4	1	27	1
Glyma.20G201200	57	0	8	23	6	2	1	16	0	43	1	5	10	5	0	0	20	0
Glyma.20G201300	174	6	29	5	17	11	5	45	1	142	2	28	4	20	5	3	32	4
Glyma.20G202100	480	7	68	15	55	19	13	104	9	395	4	39	11	44	16	5	78	13
Glyma.20G202200	1507	24	187	50	204	73	29	216	23	1213	19	126	28	187	35	8	185	36
Glyma.20G202600	67	0	6	3	9	1	2	7	0	50	0	2	0	3	1	0	5	0
Glyma.20G202700	304	5	57	17	71	18	5	60	5	277	5	43	17	71	5	2	35	7
Glyma.20G202900	70	1	4	2	11	3	1	11	1	38	1	8	3	6	3	1	5	0
Glyma.20G203000	30	0	2	1	0	0	1	15	3	37	0	0	0	1	2	1	12	2
Glyma.20G203200	87	3	16	4	6	4	2	17	3	73	1	7	3	5	3	0	10	1
Glyma.20G203900	136	3	14	4	17	15	17	27	2	107	2	3	1	17	6	19	21	2
Glyma.20G204000	50	0	4	1	2	5	0	3	0	51	0	4	1	3	1	0	4	0
Glyma.20G204200	138	1	32	8	23	6	6	32	0	106	2	18	3	16	4	2	14	0
Glyma.20G204700	26	0	10	2	6	2	2	4	1	29	0	10	0	5	1	0	5	1
Glyma.20G205000	77	0	8	5	6	7	2	18	0	72	1	14	2	19	1	2	8	0
Glyma.20G205100	343	6	24	15	28	17	12	43	1	281	1	10	5	40	7	6	17	1
Glyma.20G205400	185	2	36	14	26	7	8	42	14	140	2	21	8	25	2	1	38	14
Glyma.20G205500	189	1	13	12	50	7	8	24	2	167	0	8	5	57	2	2	19	2
Glyma.20G205600	52	1	6	2	13	2	1	2	0	56	1	7	5	6	0	0	4	0
Glyma.20G206300	273	1	23	8	43	96	46	111	2	283	4	7	7	32	53	27	94	3
Glyma.20G206400	252	0	47	8	28	22	9	38	6	199	2	32	6	33	5	3	28	1
Glyma.20G206700	42	0	2	2	2	0	1	6	0	49	0	3	1	3	1	1	8	0
Glyma.20G206800	54	1	5	4	2	1	0	7	2	36	1	2	0	4	0	2	3	0
Glyma.20G207000	94	1	15	1	24	8	5	16	2	88	4	19	2	17	1	2	14	2
Glyma.20G207200	79	0	43	38	11	2	1	8	1	62	2	30	29	14	0	0	10	0
Glyma.20G207400	81	1	8	6	9	3	1	12	1	71	0	6	2	6	1	0	14	1
Glyma.20G207500	297	1	48	21	41	13	10	41	5	199	3	42	8	26	9	4	21	0
Glyma.20G207700	490	7	101	31	120	30	6	93	2	436	10	86	17	94	10	6	96	2
Glyma.20G208000	104	5	10	9	22	14	2	22	1	97	5	11	5	21	2	2	19	1
Glyma.20G208100	90	1	10	4	10	7	3	17	0	62	3	12	2	7	4	1	14	3
Glyma.20G208500	116	1	28	2	24	11	3	21	1	130	0	34	4	14	7	2	18	0
Glyma.20G208800	251	3	40	13	40	11	4	69	5	249	3	27	6	42	9	8	55	7
Glyma.20G208900	271	5	45	11	34	29	12	42	3	271	2	38	3	42	11	2	60	7
Glyma.20G209000	2073	21	176	63	110	294	56	369	21	1607	24	89	22	97	195	12	292	17
Glyma.20G209400	247	5	27	13	33	17	5	57	6	219	4	26	3	30	13	5	54	7
Glyma.20G209700	66	0	6	3	8	4	0	30	1	62	1	4	2	9	3	2	16	0
Glyma.20G209800	165	7	24	10	24	15	8	50	2	133	2	21	2	18	10	6	48	5
Glyma.20G209900	442	8	33	16	25	44	19	181	4	395	9	12	6	48	38	7	173	4
Glyma.20G210100	31	0	1	1	7	0	1	7	0	0	0	0	0	0	0	0	0	0
Glyma.20G210300	117	3	11	4	8	9	6	19	0	100	2	6	4	13	6	3	21	1
Glyma.20G210400	42	0	16	2	9	2	0	8	2	37	1	14	1	0	0	0	16	0
Glyma.20G210500	192	1	14	11	24	6	5	30	0	184	0	8	9	30	0	3	23	0
Glyma.20G210600	212	5	23	7	21	11	11	35	4	169	1	13	6	24	8	1	28	3
Glyma.20G210700	909	15	56	27	102	52	19	167	6	695	13	21	13	110	33	5	134	5
Glyma.20G211100	112	5	13	12	15	4	2	21	2	105	7	11	4	11	0	1	16	0
Glyma.20G211200	90	2	14	6	17	4	3	14	0	65	0	13	2	14	1	0	14	0
Glyma.20G211300	43	0	5	2	11	1	3	3	2	34	1	2	1	6	2	0	7	0
Glyma.20G211400	56	0	12	4	11	3	1	15	0	50	1	17	3	5	1	0	4	0
Glyma.20G211600	116	1	20	2	12	7	1	15	1	69	2	25	3	11	4	2	9	0
Glyma.20G211700	210	0	45	15	63	12	8	23	2	169	1	49	12	70	5	2	13	0
Glyma.20G212000	69	0	4	5	7	3	2	11	1	47	1	3	2	17	2	0	6	0
Glyma.20G212100	120	1	40	36	20	2	2	16	0	94	0	38	26	14	3	2	14	0
Glyma.20G212200	102	1	16	6	15	12	4	10	0	93	2	24	2	10	4	0	12	0
Glyma.20G212500	69	1	14	3	8	6	8	27	0	48	1	4	1	7	1	2	14	0
Glyma.20G212600	29	0	9	2	5	3	1	5	1	30	1	4	4	6	0	1	6	1
Glyma.20G212800	39	0	3	6	5	4	3	4	0	0	0	0	0	0	0	0	0	0
Glyma.20G213000	46	0	11	1	8	4	2	4	1	47	1	11	1	7	2	1	11	0
Glyma.20G213400	53	0	7	3	9	4	0	12	1	49	1	4	5	6	2	0	10	1
Glyma.20G214100	240	2	18	11	15	13	10	35	2	181	5	16	7	22	6	0	25	2
Glyma.20G214200	34	1	3	3	1	5	4	69	0	27	0	1	2	6	2	2	44	1
Glyma.20G214500	58	1	9	0	7	4	2	10	0	50	0	6	1	8	2	1	16	1
Glyma.20G214600	232	3	29	12	39	14	6	48	3	199	5	44	11	42	7	6	31	3
Glyma.20G215000	71	0	9	7	9	4	2	9	0	64	1	12	4	12	2	1	7	0
Glyma.20G215100	18	0	9	1	11	0	0	5	0	0	0	0	0	0	0	0	0	0
Glyma.20G215200	545	11	63	25	84	23	13	96	12	465	4	33	12	63	14	5	89	6
Glyma.20G215800	154	5	26	8	21	7	4	29	2	126	1	24	8	27	1	0	20	0
Glyma.20G216400	25	0	9	1	6	1	0	10	0	0	0	0	0	0	0	0	0	0
Glyma.20G216500	524	11	36	14	28	53	16	81	6	482	6	34	6	42	37	3	74	1
Glyma.20G216600	24	0	1	0	7	0	0	12	1	0	0	0	0	0	0	0	0	0
Glyma.20G216900	69	1	8	2	12	3	2	14	0	58	1	8	1	7	5	1	11	2
Glyma.20G217200	582	8	64	29	85	37	15	85	2	474	10	37	14	69	26	2	73	8
Glyma.20G217400	24	0	3	5	9	3	2	2	0	0	0	0	0	0	0	0	0	0
Glyma.20G217500	344	0	59	17	32	21	10	56	6	288	1	40	12	34	11	2	45	5
Glyma.20G217700	319	10	39	15	37	19	15	56	6	259	7	27	4	38	8	4	32	4
Glyma.20G217800	335	6	32	12	49	19	8	54	4	277	6	17	10	33	12	2	48	6
Glyma.20G218200	238	2	62	10	23	11	9	40	3	201	4	59	9	31	7	3	33	2
Glyma.20G218400	355	5	43	11	40	29	10	75	6	293	7	33	4	43	11	2	48	5
Glyma.20G218600	671	22	74	30	93	48	25	128	11	574	13	52	10	97	37	8	130	23
Glyma.20G218800	465	12	64	19	79	26	10	89	6	432	6	52	16	84	8	6	57	9
Glyma.20G218902	275	4	37	12	55	23	16	41	6	234	4	39	6	59	13	3	48	5
Glyma.20G219100	223	13	26	13	29	14	10	64	7	156	14	7	2	29	11	6	60	9
Glyma.20G219500	44	0	12	2	5	3	2	16	0	51	0	11	1	10	1	1	2	0
Glyma.20G219600	285	8	33	11	35	20	8	72	8	234	5	19	7	28	8	5	40	9
Glyma.20G219700	99	0	13	5	20	3	3	15	0	74	3	15	2	14	5	0	12	0
Glyma.20G219800	132	2	23	6	23	8	7	23	1	139	4	16	1	13	4	1	30	3
Glyma.20G220100	118	2	7	2	12	5	0	18	1	127	0	8	2	9	3	0	18	0
Glyma.20G221000	1203	17	111	53	120	78	30	208	12	973	12	99	22	111	54	12	186	16
Glyma.20G221100	59	2	21	4	11	1	1	8	0	55	0	16	1	14	2	3	10	1
Glyma.20G221500	63	0	4	2	14	4	2	12	0	40	0	4	5	14	3	0	8	0
Glyma.20G221800	40	0	6	9	7	3	1	11	0	35	7	7	6	10	3	2	7	0
Glyma.20G222100	87	0	6	3	7	2	4	16	1	59	3	8	1	10	1	1	14	0
Glyma.20G222500	167	0	20	6	16	13	9	44	1	154	1	18	1	19	4	4	25	1
Glyma.20G222600	27	0	7	3	6	0	1	4	0	0	0	0	0	0	0	0	0	0
Glyma.20G222700	205	4	26	11	20	8	6	57	7	175	4	25	2	26	8	5	35	2
Glyma.20G222900	46	0	10	0	6	1	0	3	0	22	0	8	1	5	1	0	7	2
Glyma.20G223000	254	9	26	8	23	17	9	39	3	229	4	20	6	25	9	1	52	3
Glyma.20G223200	95	5	15	7	12	24	4	158	2	77	2	4	5	7	14	1	109	1
Glyma.20G223300	228	5	32	12	31	14	8	51	2	206	6	34	9	26	5	4	55	3
Glyma.20G223500	75	0	11	5	10	6	3	10	3	56	1	7	2	5	4	0	12	1
Glyma.20G223800	54	2	33	21	9	4	4	13	0	53	1	15	12	14	0	1	5	2
Glyma.20G224100	91	1	5	4	6	3	2	12	1	62	1	4	3	5	0	0	19	1
Glyma.20G224300	45	0	53	1	4	4	2	5	1	44	0	48	0	5	3	0	3	0
Glyma.20G224400	298	9	31	14	30	32	12	77	2	202	7	20	2	59	19	6	56	3
Glyma.20G224500	93	3	10	1	11	6	2	19	1	76	1	9	2	7	1	0	10	0
Glyma.20G224700	272	12	28	13	19	44	14	163	3	220	7	19	5	16	38	5	123	6
Glyma.20G225000	954	12	61	35	82	64	21	181	10	819	14	39	15	89	32	7	174	8
Glyma.20G225100	57	1	10	6	7	2	3	10	0	44	0	14	2	6	0	2	5	0
Glyma.20G225400	112	0	14	3	17	5	1	15	0	95	0	5	3	15	0	0	13	1
Glyma.20G225500	70	0	16	2	7	3	5	9	1	65	0	10	2	7	0	0	16	1
Glyma.20G225900	1725	9	443	38	411	88	35	207	9	1247	20	330	23	355	23	10	129	9
Glyma.20G226000	179	0	29	15	29	2	4	25	6	151	1	7	6	27	4	1	14	12
Glyma.20G226300	285	3	39	9	33	12	8	33	0	202	1	33	3	37	6	3	27	1
Glyma.20G226600	27	0	6	1	12	0	0	4	0	0	0	0	0	0	0	0	0	0
Glyma.20G226700	169	2	27	4	23	15	5	26	2	129	0	20	2	16	5	1	22	1
Glyma.20G226800	137	4	11	6	11	7	4	16	1	88	2	12	1	9	4	3	18	3
Glyma.20G227000	520	10	107	28	98	21	9	81	7	451	7	80	18	94	11	5	77	1
Glyma.20G227200	2062	33	368	73	434	119	55	528	36	1955	43	365	47	428	88	32	421	46
Glyma.20G227300	67	1	7	2	13	1	1	10	1	37	0	7	1	6	0	1	4	0
Glyma.20G227900	62	0	9	5	8	8	1	10	1	64	0	7	1	12	2	1	7	2
Glyma.20G228000	109	0	6	3	9	6	0	10	1	91	1	5	2	10	2	0	13	0
Glyma.20G228100	650	5	105	31	66	46	32	107	6	531	4	66	14	49	14	13	71	5
Glyma.20G228200	68	1	10	4	9	2	7	6	1	53	0	7	1	13	2	0	5	1
Glyma.20G228401	29	0	6	1	3	3	2	5	0	32	2	4	0	4	1	0	6	0
Glyma.20G228500	45	0	4	1	7	2	1	11	1	36	0	1	0	1	2	0	8	0
Glyma.20G228700	241	2	48	5	37	8	5	39	2	204	1	24	4	30	6	1	29	3
Glyma.20G228900	197	4	38	5	26	12	5	29	4	169	3	22	1	19	5	2	17	0
Glyma.20G229000	42	0	25	2	10	2	2	6	0	35	1	20	1	4	1	0	4	1
Glyma.20G229100	802	8	95	31	102	38	16	155	16	653	16	83	28	92	17	12	139	15
Glyma.20G229400	24	0	10	0	6	0	0	4	1	0	0	0	0	0	0	0	0	0
Glyma.20G229500	183	2	25	8	25	6	5	37	0	164	3	15	8	16	4	2	40	4
Glyma.20G229600	68	0	7	10	18	2	3	12	1	78	1	4	4	19	1	5	10	1
Glyma.20G229800	282	3	32	10	25	14	9	42	4	250	1	27	1	22	10	2	42	4
Glyma.20G229900	178	3	9	6	13	14	2	19	3	180	4	5	1	16	3	0	29	6
Glyma.20G230000	27	0	6	3	1	3	2	3	0	20	0	9	2	9	1	0	6	0
Glyma.20G230200	134	0	18	10	7	8	7	31	9	131	1	19	3	7	6	0	40	4
Glyma.20G230500	149	2	22	5	19	11	2	23	4	115	0	15	5	18	1	2	17	0
Glyma.20G230600	70	1	11	2	9	6	2	15	1	73	1	6	0	11	5	1	16	2
Glyma.20G230700	37	0	5	2	3	1	0	3	1	0	0	0	0	0	0	0	0	0
Glyma.20G230851	73	1	9	4	6	3	1	10	0	70	1	7	2	12	3	1	11	1
Glyma.20G230900	92	2	7	2	6	4	0	11	1	78	0	1	1	9	4	1	14	0
Glyma.20G231200	93	2	10	0	15	5	2	9	0	134	0	6	2	18	1	1	8	0
Glyma.20G231400	140	3	22	12	16	9	0	19	2	124	4	29	4	10	1	0	20	1
Glyma.20G231800	59	2	4	3	7	0	0	4	0	60	1	4	2	9	0	0	3	1
Glyma.20G232200	359	1	17	21	25	25	13	107	6	248	2	4	10	22	20	3	89	11
Glyma.20G232300	22	0	7	3	5	0	0	3	0	0	0	0	0	0	0	0	0	0
Glyma.20G233200	67	1	10	6	6	2	1	11	0	52	0	4	2	9	1	0	12	1
Glyma.20G233300	189	2	22	10	21	9	3	21	4	157	2	12	1	17	4	2	21	1
Glyma.20G233700	265	0	32	11	27	13	8	35	3	234	5	20	3	33	10	0	32	2
Glyma.20G233800	420	6	69	29	47	33	5	77	1	361	4	66	9	58	5	6	71	1
Glyma.20G233900	60	1	5	5	16	1	1	12	1	60	1	7	0	18	7	2	12	0
Glyma.20G234100	44	1	24	30	8	3	3	4	0	33	0	24	20	7	0	0	7	0
Glyma.20G234200	23	0	21	23	3	1	6	0	0	23	0	9	22	2	2	0	4	0
Glyma.20G234500	261	4	24	7	14	12	2	30	3	224	2	19	3	19	10	5	33	8
Glyma.20G234600	98	1	20	7	19	7	4	14	4	93	0	19	4	17	1	1	18	1
Glyma.20G235100	440	1	92	26	102	29	18	173	6	385	4	81	14	109	11	5	116	5
Glyma.20G235300	142	4	27	15	14	11	3	24	0	127	3	21	13	11	2	1	23	1
Glyma.20G235500	382	7	43	17	46	20	13	65	6	315	4	30	12	35	8	2	46	6
Glyma.20G235700	169	2	34	7	26	10	5	41	3	152	2	27	2	21	7	2	27	1
Glyma.20G235800	115	3	17	2	15	10	4	21	1	94	0	6	2	8	7	0	16	6
Glyma.20G236000	64	0	12	2	11	3	3	7	1	68	0	10	0	8	0	0	5	1
Glyma.20G236400	29	0	4	0	1	1	2	8	0	29	0	5	0	4	0	1	8	1
Glyma.20G236500	269	5	38	7	25	19	4	49	1	233	4	18	9	19	13	6	41	5
Glyma.20G236700	149	1	15	9	12	13	5	27	1	141	3	14	2	15	5	1	24	4
Glyma.20G236800	88	1	5	5	7	10	2	14	2	84	1	5	0	9	5	2	13	2
Glyma.20G236900	126	3	30	2	17	10	4	27	2	113	3	20	3	20	7	2	18	0
Glyma.20G237000	188	3	23	7	29	9	7	39	2	158	2	20	3	18	6	0	39	3
Glyma.20G237200	59	1	4	2	7	2	0	17	7	45	0	3	0	2	1	0	8	4
Glyma.20G237300	32	0	4	1	8	3	1	7	1	48	0	4	0	2	2	1	11	0
Glyma.20G237400	625	4	87	35	75	50	19	90	5	464	5	60	9	65	12	3	56	5
Glyma.20G237500	78	0	5	0	2	8	3	3	0	62	0	1	0	2	1	0	1	0
Glyma.20G237900	722	15	66	25	230	26	21	108	27	545	13	41	16	184	14	3	77	17
Glyma.20G237950	37	0	0	1	2	0	0	3	2	0	0	0	0	0	0	0	0	0
Glyma.20G238000	42	0	5	1	3	3	1	5	2	0	0	0	0	0	0	0	0	0
Glyma.20G238100	38	0	1	0	2	1	1	7	1	41	0	1	0	4	0	0	3	1
Glyma.20G238400	606	10	60	19	73	37	18	89	3	534	6	38	7	55	15	6	83	10
Glyma.20G238500	426	4	59	26	45	17	9	64	0	394	4	45	17	60	13	7	58	3
Glyma.20G238600	57	0	12	4	5	2	1	2	0	38	0	7	0	5	2	0	6	0
Glyma.20G238700	199	3	24	6	29	14	8	35	1	200	2	29	3	34	5	3	35	3
Glyma.20G238800	374	9	47	11	71	30	13	57	7	340	4	37	3	45	10	3	61	3
Glyma.20G238951	179	0	23	5	25	10	5	32	5	147	1	24	3	26	10	2	32	2
Glyma.20G239100	87	3	15	1	20	7	3	19	2	80	2	8	0	10	5	0	11	2
Glyma.20G239200	221	3	25	12	18	10	9	30	2	180	1	12	5	20	5	3	49	1
Glyma.20G239300	50	0	12	2	7	3	1	7	0	40	0	9	1	8	1	1	5	1
Glyma.20G239600	53	2	5	5	7	5	2	6	1	36	1	8	1	5	2	1	5	1
Glyma.20G239800	370	3	49	13	57	17	7	58	10	350	6	40	6	62	11	4	45	3
Glyma.20G240000	121	1	4	5	39	9	1	13	1	101	0	5	0	17	3	0	7	0
Glyma.20G240300	90	0	10	5	16	9	13	28	2	71	2	5	0	16	2	11	18	3
Glyma.20G240500	84	1	21	2	10	5	4	18	0	67	1	18	3	18	1	2	13	2
Glyma.20G240600	374	0	19	5	10	6	4	20	4	372	6	7	1	9	2	4	12	1
Glyma.20G240700	670	5	84	40	73	43	17	96	2	501	8	74	12	57	9	1	73	5
Glyma.20G241200	278	3	29	2	32	34	4	57	3	209	3	13	3	35	8	2	47	9
Glyma.20G241400	830	13	106	34	104	46	23	139	11	744	10	71	19	91	25	15	118	8
Glyma.20G241500	368	8	21	9	41	62	10	67	4	287	4	14	4	24	42	4	55	4
Glyma.20G241600	149	1	7	7	27	9	2	13	3	115	1	7	1	21	3	1	11	1
Glyma.20G241900	187	4	29	6	23	9	7	30	2	161	4	23	9	21	1	3	31	2
Glyma.20G242100	871	8	95	42	113	54	18	160	16	754	7	94	20	88	36	11	130	14
Glyma.20G242200	44	0	7	0	3	4	1	8	0	38	1	6	0	3	1	1	9	2
Glyma.20G242400	925	14	93	24	107	53	23	149	12	730	9	69	14	91	23	4	117	10
Glyma.20G242800	284	6	30	10	25	9	11	43	2	206	2	20	8	21	11	3	24	4
Glyma.20G242900	110	0	8	2	14	5	2	18	2	57	0	2	2	10	7	0	9	1
Glyma.20G243000	37	0	21	13	7	2	2	17	1	42	2	11	8	7	0	2	5	0
Glyma.20G243400	84	2	8	4	4	5	3	16	1	66	1	9	1	14	4	0	14	1
Glyma.20G243700	77	0	15	6	13	7	3	18	1	74	3	2	2	15	1	0	12	0
Glyma.20G243900	28	0	18	2	2	1	1	4	1	0	0	0	0	0	0	0	0	0
Glyma.20G244000	266	6	36	13	28	15	10	53	5	230	6	17	4	26	8	2	45	4
Glyma.20G244100	136	1	25	3	21	10	12	32	0	102	5	17	4	31	4	6	15	1
Glyma.20G244200	182	5	36	13	27	7	2	26	1	146	1	18	2	23	3	1	22	0
Glyma.20G244300	109	0	12	2	11	8	0	15	0	87	2	5	2	15	1	0	15	0
Glyma.20G244400	313	4	38	15	47	10	9	46	4	222	2	53	10	38	2	1	41	1
Glyma.20G244500	122	0	13	4	17	4	3	17	4	77	0	9	4	14	1	0	9	3
Glyma.20G244700	241	2	20	7	18	13	7	41	2	199	2	22	5	23	7	4	40	5
Glyma.20G244900	2855	21	262	87	278	128	56	419	19	2615	35	190	61	270	57	20	358	23
Glyma.20G245300	951	16	84	21	143	42	20	146	8	826	11	41	12	115	27	11	123	10
Glyma.20G245400	204	3	22	4	29	9	4	29	2	150	4	14	1	19	9	0	23	2
Glyma.20G245500	102	3	26	4	16	6	1	14	0	99	1	14	2	13	2	0	15	1
Glyma.20G245600	247	6	28	8	27	16	17	33	1	280	6	18	13	23	5	2	39	5
Glyma.20G245800	61	2	9	5	9	3	2	15	1	49	3	12	1	5	1	1	7	0
Glyma.20G245900	62	0	7	0	12	1	4	13	0	27	0	9	0	7	2	0	9	0
Glyma.20G246100	482	9	58	16	43	28	10	103	12	451	5	34	8	41	13	0	82	11
Glyma.20G246200	315	6	30	17	36	19	5	70	4	282	5	18	12	36	11	3	52	2
Glyma.20G246400	113	2	19	6	8	4	2	14	0	107	1	6	2	12	4	2	23	3
Glyma.20G246700	122	2	12	5	12	8	4	29	0	111	1	4	4	12	3	3	11	0
Glyma.20G246800	306	4	24	12	27	22	9	60	3	273	7	14	5	19	13	4	42	3
Glyma.20G246900	115	0	16	4	17	7	1	23	4	98	4	9	4	12	5	0	14	0
Glyma.20G247000	68	1	7	3	4	4	0	9	3	40	1	8	1	4	2	1	10	0
Glyma.20G247200	89	0	16	4	13	7	6	16	1	74	1	10	1	15	1	0	10	0
Glyma.20G247500	198	5	23	5	23	14	2	42	4	167	3	13	2	12	8	4	29	2
Glyma.20G247700	271	4	25	3	9	16	3	36	1	189	9	25	6	9	5	2	34	0
Glyma.20G247850	4257	56	301	151	230	261	143	745	27	3463	35	108	37	246	85	42	617	27
Glyma.20G248000	1349	19	91	35	130	86	43	263	10	1211	25	55	25	119	46	8	239	19
Glyma.20G248100	4247	80	334	142	696	302	100	842	25	3766	71	201	74	602	151	32	803	40
Glyma.20G248500	101	1	14	11	9	6	3	26	1	98	0	11	4	19	4	2	17	3
Glyma.20G248800	213	4	25	16	16	18	5	34	2	174	4	35	5	23	3	1	39	3
Glyma.20G249100	100	2	8	3	6	2	2	12	0	60	0	5	6	8	2	1	13	3
Glyma.20G249300	110	2	16	7	16	6	1	30	0	92	4	9	3	11	2	2	27	0
Glyma.20G249400	87	3	7	3	14	8	2	17	1	96	2	5	3	12	4	2	11	2
Glyma.20G249600	157	0	12	6	12	18	5	19	2	144	4	7	1	13	5	3	22	0
Glyma.20G249700	59	2	9	4	4	4	2	8	0	55	1	2	1	6	2	0	9	0
Glyma.20G249800	41	0	4	2	5	8	1	11	0	38	0	1	1	11	0	2	3	0
Glyma.20G249900	89	2	15	1	15	7	3	9	0	55	4	18	4	16	0	0	8	2
Glyma.20G250000	353	7	55	60	68	24	1	80	11	351	7	44	61	62	7	2	63	14
Glyma.20G250200	316	3	25	8	23	19	2	33	2	262	0	13	1	24	11	3	24	0
Glyma.U003033	54	0	14	6	7	2	1	5	1	57	0	20	5	13	0	1	12	0
Glyma.U003166	193	3	23	16	27	14	8	33	1	155	1	24	10	26	5	1	30	1
Glyma.U008800	43	1	1	0	5	1	2	11	0	40	0	1	0	4	0	0	8	1
Glyma.U008900	28	0	3	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0
Glyma.U027200	54	0	20	3	7	4	1	11	0	39	1	12	2	14	2	0	11	0
Glyma.U042300	72	0	8	3	8	6	1	6	0	69	0	5	1	5	0	3	11	0
Glyma.01G004800	224	0	11	2	9	9	2	13	0	199	2	7	2	11	2	1	12	0
Glyma.01G042100	46	0	2	1	2	2	49	9	0	35	0	2	2	3	0	38	15	0
Glyma.01G064800	50	0	9	4	10	1	2	3	0	33	1	5	2	10	0	0	5	1
Glyma.01G096800	45	0	2	1	4	3	0	4	0	38	0	1	0	3	3	1	0	2
Glyma.01G099800	68	0	15	4	19	4	5	10	0	66	0	5	1	19	1	2	18	0
Glyma.01G112200	124	2	12	3	11	1	1	10	1	106	0	8	1	7	1	1	3	1
Glyma.01G133100	23	0	4	3	14	0	0	1	0	0	0	0	0	0	0	0	0	0
Glyma.01G175200	59	1	6	5	2	2	1	14	1	0	0	0	0	0	0	0	0	0
Glyma.01G190300	461	15	32	10	42	23	18	104	3	334	11	14	3	30	15	15	93	0
Glyma.01G196600	27	0	2	0	4	18	7	24	1	25	1	2	0	1	5	5	18	0
Glyma.01G221800	25	0	11	1	1	2	2	13	1	26	0	10	0	7	3	0	21	0
Glyma.01G234000	20	0	3	0	5	4	10	12	1	27	0	4	2	7	2	3	18	0
Glyma.01G240500	122	6	18	3	17	10	2	38	0	103	3	20	3	24	9	1	17	0
Glyma.02G024000	43	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
Glyma.02G029200	38	2	3	0	1	2	2	11	0	0	0	0	0	0	0	0	0	0
Glyma.02G030300	151	2	15	16	26	11	4	25	0	102	4	6	5	28	5	0	18	1
Glyma.02G030500	37	0	5	3	5	5	3	8	0	0	0	0	0	0	0	0	0	0
Glyma.02G047200	65	0	2	2	1	2	1	8	1	61	2	0	3	5	0	1	1	0
Glyma.02G070600	95	0	5	2	1	3	2	3	0	58	0	4	1	1	1	0	0	2
Glyma.02G111200	290	5	57	6	13	18	8	32	4	320	2	63	3	16	5	2	33	6
Glyma.02G231900	31	0	1	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0
Glyma.02G241800	25	0	2	1	1	22	1	2	0	0	0	0	0	0	0	0	0	0
Glyma.02G245600	35	0	8	0	7	1	1	7	0	33	1	4	0	6	1	0	10	0
Glyma.02G268200	84	0	2	0	4	2	1	6	1	75	1	0	0	1	1	2	2	1
Glyma.02G270700	22	0	17	3	6	4	1	5	0	23	0	15	0	7	1	0	6	0
Glyma.02G291200	48	3	4	1	5	2	2	1	0	37	5	4	0	2	4	0	2	0
Glyma.02G308800	74	0	4	6	10	3	3	22	3	74	0	1	2	15	2	2	9	2
Glyma.03G034800	14	1	8	0	5	0	1	7	1	0	0	0	0	0	0	0	0	0
Glyma.03G038800	30	0	1	2	6	1	1	11	1	28	1	0	2	6	5	4	6	0
Glyma.03G044500	257	3	37	9	28	19	4	37	3	202	1	25	5	15	5	0	17	3
