RNA_rt3:Cortex	RNA_rt3:Endodermis	RNA_rt3:Epidermis	RNA_rt3:Pericycle	RNA_rt3:Phloem	RNA_rt3:Procambium	RNA_rt3:Root_hair	RNA_rt3:Xylem	RNA_rt4:Cortex	RNA_rt4:Endodermis	RNA_rt4:Epidermis	RNA_rt4:Pericycle	RNA_rt4:Phloem	RNA_rt4:Procambium	RNA_rt4:Root_hair	RNA_rt4:Xylem
Glyma.13G057700	0	0	0	0	0	0	0	0	19	5	9	5	2	9	2	1
Glyma.13G057800	0	0	0	0	0	0	0	0	28	10	13	2	1	24	3	1
Glyma.13G058700	0	0	0	0	0	0	0	0	19	5	11	3	0	8	0	2
Glyma.13G059500	0	0	0	0	0	0	0	0	29	2	1	1	1	11	3	12
Glyma.13G059800	0	0	0	0	0	0	0	0	34	3	32	4	4	5	1	6
Glyma.13G060100	0	0	0	0	0	0	0	0	40	3	10	1	1	7	2	2
Glyma.13G061700	0	0	0	0	0	0	0	0	24	4	19	4	4	4	2	2
Glyma.13G062800	0	0	0	0	0	0	0	0	10	2	8	2	0	27	2	1
Glyma.13G062900	0	0	0	0	0	0	0	0	22	5	12	3	4	12	1	3
Glyma.13G063400	0	0	0	0	0	0	0	0	14	7	16	3	2	8	0	0
Glyma.13G063500	0	0	0	0	0	0	0	0	30	4	28	1	0	14	3	1
Glyma.13G064000	0	0	0	0	0	0	0	0	24	2	7	2	1	8	0	2
Glyma.13G064100	0	0	0	0	0	0	0	0	26	2	15	0	0	1	1	0
Glyma.13G068200	0	0	0	0	0	0	0	0	10	2	5	28	10	28	1	4
Glyma.13G068600	0	0	0	0	0	0	0	0	18	2	13	0	2	5	3	2
Glyma.13G070400	0	0	0	0	0	0	0	0	27	6	16	2	1	11	3	4
Glyma.13G071600	0	0	0	0	0	0	0	0	22	2	22	1	1	12	2	0
Glyma.13G073800	0	0	0	0	0	0	0	0	24	1	15	1	12	3	0	2
Glyma.13G077000	0	0	0	0	0	0	0	0	21	1	6	7	1	12	3	1
Glyma.13G077100	0	0	0	0	0	0	0	0	31	3	11	4	3	6	5	3
Glyma.13G080900	0	0	0	0	0	0	0	0	17	13	6	8	5	12	3	0
Glyma.13G081900	0	0	0	0	0	0	0	0	18	3	9	7	0	8	1	1
Glyma.13G084600	0	0	0	0	0	0	0	0	20	1	9	0	1	12	7	0
Glyma.13G084700	0	0	0	0	0	0	0	0	43	6	19	7	2	13	2	1
Glyma.13G086800	0	0	0	0	0	0	0	0	29	5	13	2	0	12	5	0
Glyma.13G091600	0	0	0	0	0	0	0	0	10	3	9	4	3	80	3	15
Glyma.13G092100	0	0	0	0	0	0	0	0	26	2	27	2	1	2	6	0
Glyma.13G093332	0	0	0	0	0	0	0	0	10	1	58	4	0	4	11	0
Glyma.13G095400	0	0	0	0	0	0	0	0	38	6	17	3	0	5	3	0
Glyma.13G096900	0	0	0	0	0	0	0	0	18	14	4	1	1	36	1	1
Glyma.13G098100	0	0	0	0	0	0	0	0	26	8	13	2	2	6	3	0
Glyma.13G099002	0	0	0	0	0	0	0	0	18	4	18	5	0	19	5	1
Glyma.13G099400	0	0	0	0	0	0	0	0	30	6	15	2	1	12	0	5
Glyma.13G100700	0	0	0	0	0	0	0	0	29	8	11	1	0	13	1	0
Glyma.13G101400	0	0	0	0	0	0	0	0	33	5	9	3	2	5	4	10
Glyma.13G102200	0	0	0	0	0	0	0	0	19	0	13	3	0	3	3	0
Glyma.13G104500	0	0	0	0	0	0	0	0	23	0	3	5	5	15	1	6
Glyma.13G105200	0	0	0	0	0	0	0	0	33	4	14	1	1	8	1	2
Glyma.13G107200	0	0	0	0	0	0	0	0	14	4	5	3	1	17	2	0
Glyma.13G107700	0	0	0	0	0	0	0	0	21	6	4	4	2	7	1	1
Glyma.13G111700	0	0	0	0	0	0	0	0	16	0	18	0	3	7	8	1
Glyma.13G112700	0	0	0	0	0	0	0	0	25	8	20	4	2	20	5	1
Glyma.13G112800	0	0	0	0	0	0	0	0	15	6	7	2	0	2	1	1
Glyma.13G113300	0	0	0	0	0	0	0	0	25	5	16	2	2	4	4	4
Glyma.13G115000	0	0	0	0	0	0	0	0	24	4	9	3	7	5	4	0
Glyma.13G115600	0	0	0	0	0	0	0	0	15	4	17	2	0	8	1	0
Glyma.13G116100	0	0	0	0	0	0	0	0	32	2	12	0	1	2	2	0
Glyma.13G116600	0	0	0	0	0	0	0	0	16	4	18	3	2	15	7	0
Glyma.13G117200	0	0	0	0	0	0	0	0	26	5	20	6	1	12	0	2
Glyma.13G120700	0	0	0	0	0	0	0	0	10	7	20	1	1	7	4	0
Glyma.13G120800	0	0	0	0	0	0	0	0	12	8	14	3	0	13	1	0
Glyma.13G121500	0	0	0	0	0	0	0	0	30	8	26	1	1	8	0	0
Glyma.13G121900	0	0	0	0	0	0	0	0	12	3	19	1	0	5	2	1
Glyma.13G124400	0	0	0	0	0	0	0	0	10	5	6	6	0	13	1	0
Glyma.13G124800	0	0	0	0	0	0	0	0	41	7	26	1	0	8	3	0
Glyma.13G125700	0	0	0	0	0	0	0	0	19	3	9	3	7	24	2	1
Glyma.13G126900	0	0	0	0	0	0	0	0	26	6	13	2	2	11	4	7
Glyma.13G127600	0	0	0	0	0	0	0	0	35	7	27	0	4	14	9	1
Glyma.13G130800	0	0	0	0	0	0	0	0	22	1	21	0	1	6	3	0
Glyma.13G133900	0	0	0	0	0	0	0	0	17	6	11	1	0	18	1	3
Glyma.13G135700	0	0	0	0	0	0	0	0	25	7	15	1	0	15	3	0
Glyma.13G137900	0	0	0	0	0	0	0	0	29	5	8	2	2	9	1	1
Glyma.13G138100	0	0	0	0	0	0	0	0	19	3	9	3	0	9	2	1
Glyma.13G138400	0	0	0	0	0	0	0	0	16	1	14	4	1	7	4	1
Glyma.13G138500	0	0	0	0	0	0	0	0	36	7	21	2	3	5	5	1
Glyma.13G139400	0	0	0	0	0	0	0	0	11	4	10	9	6	7	1	1
Glyma.13G140700	0	0	0	0	0	0	0	0	16	0	11	4	1	10	2	4
Glyma.13G141000	0	0	0	0	0	0	0	0	31	3	13	2	2	9	4	0
Glyma.13G142000	0	0	0	0	0	0	0	0	20	0	14	4	0	4	4	0
Glyma.13G143400	0	0	0	0	0	0	0	0	16	4	8	1	0	12	1	1
Glyma.13G143500	0	0	0	0	0	0	0	0	18	5	8	0	2	4	2	5
Glyma.13G144000	0	0	0	0	0	0	0	0	25	5	17	3	2	11	2	0
Glyma.13G145200	0	0	0	0	0	0	0	0	18	5	5	6	4	10	2	8
Glyma.13G146300	0	0	0	0	0	0	0	0	26	1	20	1	5	4	4	4
Glyma.13G146500	0	0	0	0	0	0	0	0	28	2	15	1	1	12	2	4
Glyma.13G148000	0	0	0	0	0	0	0	0	24	7	26	2	0	17	3	0
Glyma.13G148600	0	0	0	0	0	0	0	0	25	5	10	8	3	17	5	6
Glyma.13G149700	0	0	0	0	0	0	0	0	30	4	10	1	1	10	0	1
Glyma.13G149900	0	0	0	0	0	0	0	0	25	4	25	1	3	10	2	0
Glyma.13G150400	0	0	0	0	0	0	0	0	26	3	20	1	0	15	2	1
Glyma.13G152100	0	0	0	0	0	0	0	0	37	11	29	2	3	9	0	1
Glyma.13G152168	0	0	0	0	0	0	0	0	38	11	19	3	0	6	6	1
Glyma.13G153700	0	0	0	0	0	0	0	0	27	2	11	2	2	24	1	1
Glyma.13G154400	0	0	0	0	0	0	0	0	25	8	6	6	1	8	0	0
Glyma.13G156800	0	0	0	0	0	0	0	0	18	2	12	0	0	3	4	0
Glyma.13G159800	0	0	0	0	0	0	0	0	20	5	19	1	2	7	1	0
Glyma.13G160400	0	0	0	0	0	0	0	0	120	1	6	1	0	6	1	2
Glyma.13G162300	0	0	0	0	0	0	0	0	18	1	11	1	2	9	3	0
Glyma.13G162500	0	0	0	0	0	0	0	0	24	6	18	1	1	13	1	1
Glyma.13G163100	0	0	0	0	0	0	0	0	17	1	11	4	2	4	2	3
Glyma.13G163302	0	0	0	0	0	0	0	0	25	8	17	2	2	10	3	2
Glyma.13G165300	0	0	0	0	0	0	0	0	19	9	5	7	1	16	0	0
Glyma.13G165800	0	0	0	0	0	0	0	0	24	3	19	2	4	6	2	0
Glyma.13G166800	0	0	0	0	0	0	0	0	34	2	10	3	1	13	3	0
Glyma.13G167500	0	0	0	0	0	0	0	0	27	9	20	5	1	10	4	0
Glyma.13G167700	0	0	0	0	0	0	0	0	45	15	9	10	9	16	6	3
Glyma.13G167800	0	0	0	0	0	0	0	0	11	1	7	3	3	6	6	3
Glyma.13G168200	0	0	0	0	0	0	0	0	114	1	30	2	1	9	24	2
Glyma.13G169300	0	0	0	0	0	0	0	0	29	9	11	4	3	28	2	0
Glyma.13G170700	0	0	0	0	0	0	0	0	8	7	7	8	1	14	0	2
Glyma.13G171300	0	0	0	0	0	0	0	0	9	1	21	1	0	9	2	0
Glyma.13G171800	0	0	0	0	0	0	0	0	21	0	8	0	0	4	1	0
Glyma.13G172400	0	0	0	0	0	0	0	0	27	7	19	2	1	14	3	1
Glyma.13G176300	0	0	0	0	0	0	0	0	11	0	7	4	0	3	29	4
Glyma.13G177500	0	0	0	0	0	0	0	0	15	3	3	6	2	18	0	1
Glyma.13G178000	0	0	0	0	0	0	0	0	32	7	17	5	1	13	1	2
Glyma.13G179400	0	0	0	0	0	0	0	0	23	2	9	2	0	15	0	1
Glyma.13G183700	0	0	0	0	0	0	0	0	7	1	5	20	4	24	1	1
Glyma.13G184500	0	0	0	0	0	0	0	0	22	1	16	3	0	12	10	0
Glyma.13G186500	0	0	0	0	0	0	0	0	29	4	7	3	1	19	9	1
Glyma.13G186700	0	0	0	0	0	0	0	0	33	12	12	1	0	7	1	0
Glyma.13G190900	0	0	0	0	0	0	0	0	25	2	12	1	5	6	0	4
Glyma.13G194800	0	0	0	0	0	0	0	0	24	3	15	2	1	15	6	0
Glyma.13G195800	0	0	0	0	0	0	0	0	29	5	14	7	6	16	2	1
Glyma.13G196600	0	0	0	0	0	0	0	0	29	2	15	2	0	5	1	0
Glyma.13G196800	0	0	0	0	0	0	0	0	25	7	22	4	5	10	2	1
Glyma.13G196900	0	0	0	0	0	0	0	0	17	3	11	2	0	9	2	1
Glyma.13G197500	0	0	0	0	0	0	0	0	46	3	25	1	0	20	1	2
Glyma.13G198000	0	0	0	0	0	0	0	0	24	4	19	2	0	8	4	1
Glyma.13G199800	0	0	0	0	0	0	0	0	18	21	4	3	2	30	1	16
Glyma.13G202300	0	0	0	0	0	0	0	0	32	8	18	8	2	5	3	3
Glyma.13G203300	0	0	0	0	0	0	0	0	17	6	8	5	0	9	1	0
Glyma.13G204000	0	0	0	0	0	0	0	0	20	7	30	2	3	5	6	4
Glyma.13G205700	0	0	0	0	0	0	0	0	16	3	13	0	4	4	3	0
Glyma.13G206600	0	0	0	0	0	0	0	0	18	1	24	0	0	4	4	2
Glyma.13G206800	0	0	0	0	0	0	0	0	23	6	23	4	0	15	12	1
Glyma.13G207000	0	0	0	0	0	0	0	0	29	3	15	1	3	9	9	8
Glyma.13G208000	0	0	0	0	0	0	0	0	129	1	8	1	2	4	2	1
Glyma.13G208400	0	0	0	0	0	0	0	0	14	2	5	2	2	40	0	6
Glyma.13G211800	0	0	0	0	0	0	0	0	15	4	16	2	0	5	1	2
Glyma.13G212100	0	0	0	0	0	0	0	0	18	2	13	0	2	7	0	1
Glyma.13G213600	0	0	0	0	0	0	0	0	23	0	17	2	0	13	0	0
Glyma.13G214800	0	0	0	0	0	0	0	0	18	8	27	3	1	18	1	0
Glyma.13G215500	0	0	0	0	0	0	0	0	17	7	18	4	11	9	1	0
Glyma.13G216800	0	0	0	0	0	0	0	0	31	7	23	0	0	13	3	0
Glyma.13G217000	0	0	0	0	0	0	0	0	18	6	7	0	0	8	2	1
Glyma.13G218700	0	0	0	0	0	0	0	0	30	2	7	2	4	10	3	7
Glyma.13G219900	0	0	0	0	0	0	0	0	33	7	1	3	0	8	0	2
Glyma.13G220200	0	0	0	0	0	0	0	0	18	4	10	1	0	9	1	0
Glyma.13G220600	0	0	0	0	0	0	0	0	25	3	11	1	1	7	0	2
Glyma.13G221600	0	0	0	0	0	0	0	0	21	2	15	0	1	7	4	0
Glyma.13G222800	0	0	0	0	0	0	0	0	43	6	7	0	0	13	1	3
Glyma.13G227900	0	0	0	0	0	0	0	0	14	2	37	0	0	4	4	1
Glyma.13G228000	0	0	0	0	0	0	0	0	31	7	23	2	3	16	1	1
Glyma.13G228300	0	0	0	0	0	0	0	0	7	54	3	5	1	7	1	4
Glyma.13G230600	0	0	0	0	0	0	0	0	10	8	7	1	5	8	3	3
Glyma.13G231400	0	0	0	0	0	0	0	0	17	4	15	1	2	7	1	0
Glyma.13G232800	0	0	0	0	0	0	0	0	11	0	18	0	0	1	5	0
Glyma.13G234000	0	0	0	0	0	0	0	0	24	8	27	2	2	10	3	0
Glyma.13G234100	0	0	0	0	0	0	0	0	28	1	15	1	2	10	4	0
Glyma.13G234400	0	0	0	0	0	0	0	0	12	1	4	2	1	5	87	0
Glyma.13G236400	0	0	0	0	0	0	0	0	33	5	20	5	3	10	8	3
Glyma.13G236700	0	0	0	0	0	0	0	0	32	10	9	2	1	5	0	1
Glyma.13G237500	0	0	0	0	0	0	0	0	8	18	4	5	3	18	2	2
Glyma.13G238100	0	0	0	0	0	0	0	0	27	4	3	2	1	14	0	0
Glyma.13G239500	0	0	0	0	0	0	0	0	27	6	17	2	3	7	2	2
Glyma.13G239900	0	0	0	0	0	0	0	0	33	11	13	3	1	26	2	2
Glyma.13G241000	0	0	0	0	0	0	0	0	27	3	20	0	1	2	4	0
Glyma.13G241200	0	0	0	0	0	0	0	0	11	4	44	3	0	13	1	0
Glyma.13G241400	0	0	0	0	0	0	0	0	21	6	22	2	1	15	0	0
Glyma.13G241900	0	0	0	0	0	0	0	0	11	4	7	16	18	17	4	1
Glyma.13G242000	0	0	0	0	0	0	0	0	21	2	12	1	13	4	3	2
Glyma.13G242100	0	0	0	0	0	0	0	0	28	1	9	8	5	5	3	1
Glyma.13G242700	0	0	0	0	0	0	0	0	35	3	28	0	0	10	6	0
Glyma.13G246302	0	0	0	0	0	0	0	0	17	0	13	2	1	4	1	1
Glyma.13G246400	0	0	0	0	0	0	0	0	24	2	8	0	0	7	2	1
Glyma.13G247400	0	0	0	0	0	0	0	0	22	5	17	0	2	9	1	2
Glyma.13G248300	0	0	0	0	0	0	0	0	18	0	48	0	0	5	4	0
Glyma.13G249900	0	0	0	0	0	0	0	0	31	9	14	6	2	15	1	1
Glyma.13G250000	0	0	0	0	0	0	0	0	19	7	9	0	3	5	1	0
Glyma.13G250100	0	0	0	0	0	0	0	0	24	7	11	7	3	28	1	3
Glyma.13G251000	0	0	0	0	0	0	0	0	35	7	13	2	2	17	1	2
Glyma.13G251100	0	0	0	0	0	0	0	0	8	2	4	4	1	34	4	2
Glyma.13G253000	0	0	0	0	0	0	0	0	30	3	18	2	2	9	0	3
Glyma.13G253700	0	0	0	0	0	0	0	0	30	3	17	5	0	22	1	1
Glyma.13G253800	0	0	0	0	0	0	0	0	33	4	19	2	0	7	2	0
Glyma.13G254100	0	0	0	0	0	0	0	0	19	0	10	3	1	11	0	0
Glyma.13G255400	0	0	0	0	0	0	0	0	22	1	8	3	0	5	7	3
Glyma.13G256000	0	0	0	0	0	0	0	0	22	1	3	0	1	4	20	3
Glyma.13G259500	0	0	0	0	0	0	0	0	21	0	23	0	0	7	5	1
Glyma.13G259800	0	0	0	0	0	0	0	0	13	0	13	1	0	5	4	1
Glyma.13G262100	0	0	0	0	0	0	0	0	19	3	6	3	1	6	1	0
Glyma.13G262200	0	0	0	0	0	0	0	0	18	4	14	2	2	7	1	0
Glyma.13G264400	0	0	0	0	0	0	0	0	45	2	15	1	3	9	3	1
Glyma.13G264600	0	0	0	0	0	0	0	0	5	5	3	32	3	18	5	1
Glyma.13G264800	0	0	0	0	0	0	0	0	10	1	3	34	2	27	0	2
Glyma.13G264900	0	0	0	0	0	0	0	0	24	6	16	1	1	7	1	0
Glyma.13G265000	0	0	0	0	0	0	0	0	21	2	8	0	0	7	2	0
Glyma.13G265400	0	0	0	0	0	0	0	0	26	2	18	0	1	3	0	3
Glyma.13G265800	0	0	0	0	0	0	0	0	12	7	24	13	3	30	1	0
Glyma.13G266500	0	0	0	0	0	0	0	0	20	8	24	5	4	21	1	1
Glyma.13G267851	0	0	0	0	0	0	0	0	15	4	8	3	4	31	2	22
Glyma.13G269000	0	0	0	0	0	0	0	0	27	1	13	1	12	11	10	6
Glyma.13G269700	0	0	0	0	0	0	0	0	12	2	20	3	0	3	2	0
Glyma.13G271000	0	0	0	0	0	0	0	0	26	6	11	4	1	12	3	2
Glyma.13G271200	0	0	0	0	0	0	0	0	20	4	5	0	0	14	0	2
Glyma.13G271700	0	0	0	0	0	0	0	0	20	3	6	5	0	10	5	2
Glyma.13G271900	0	0	0	0	0	0	0	0	23	2	13	0	0	6	2	0
Glyma.13G272600	0	0	0	0	0	0	0	0	26	5	24	0	0	6	3	0
Glyma.13G275600	0	0	0	0	0	0	0	0	29	0	12	2	1	3	1	0
Glyma.13G279600	0	0	0	0	0	0	0	0	71	3	13	10	4	18	2	3
Glyma.13G280400	0	0	0	0	0	0	0	0	24	4	23	0	0	9	19	0
Glyma.13G280600	0	0	0	0	0	0	0	0	29	3	21	6	3	5	2	0
Glyma.13G281900	0	0	0	0	0	0	0	0	19	13	9	6	3	26	0	2
Glyma.13G283000	0	0	0	0	0	0	0	0	24	8	9	0	0	2	1	0
Glyma.13G284400	0	0	0	0	0	0	0	0	8	0	6	19	0	42	1	0
Glyma.13G285600	0	0	0	0	0	0	0	0	24	3	18	1	0	12	3	0
Glyma.13G286300	0	0	0	0	0	0	0	0	13	2	10	1	7	37	0	4
Glyma.13G286600	0	0	0	0	0	0	0	0	36	1	11	0	0	7	2	2
Glyma.13G287500	0	0	0	0	0	0	0	0	13	0	15	2	0	2	12	1
Glyma.13G291400	0	0	0	0	0	0	0	0	35	3	13	2	1	9	5	1
Glyma.13G292102	0	0	0	0	0	0	0	0	18	0	9	0	0	8	6	0
Glyma.13G294600	0	0	0	0	0	0	0	0	16	3	12	0	3	4	0	3
Glyma.13G295300	0	0	0	0	0	0	0	0	7	2	2	6	3	33	0	1
Glyma.13G296200	0	0	0	0	0	0	0	0	21	8	10	6	2	15	1	0
Glyma.13G296300	0	0	0	0	0	0	0	0	13	6	16	1	0	7	3	0
Glyma.13G296700	0	0	0	0	0	0	0	0	17	4	10	5	0	5	2	1
Glyma.13G297000	0	0	0	0	0	0	0	0	17	21	7	2	0	8	1	0
Glyma.13G298700	0	0	0	0	0	0	0	0	17	28	6	5	2	29	1	0
Glyma.13G299100	0	0	0	0	0	0	0	0	11	0	8	20	6	12	1	1
Glyma.13G300500	0	0	0	0	0	0	0	0	12	5	16	0	1	6	0	0
Glyma.13G300700	0	0	0	0	0	0	0	0	28	1	14	0	2	5	2	1
Glyma.13G301300	0	0	0	0	0	0	0	0	7	4	7	4	6	17	1	1
Glyma.13G301400	0	0	0	0	0	0	0	0	37	2	10	1	5	8	1	5
Glyma.13G303500	0	0	0	0	0	0	0	0	28	6	17	5	0	16	1	2
Glyma.13G304300	0	0	0	0	0	0	0	0	21	2	16	0	3	3	5	1
Glyma.13G306800	0	0	0	0	0	0	0	0	11	5	8	1	0	7	2	0
Glyma.13G308400	0	0	0	0	0	0	0	0	24	3	10	2	0	7	1	1
Glyma.13G309300	0	0	0	0	0	0	0	0	27	1	10	0	0	1	1	0
Glyma.13G312000	0	0	0	0	0	0	0	0	10	8	7	2	1	21	2	0
Glyma.13G312200	0	0	0	0	0	0	0	0	28	4	12	5	0	17	3	0
Glyma.13G315800	0	0	0	0	0	0	0	0	19	8	10	1	2	13	5	1
Glyma.13G316800	0	0	0	0	0	0	0	0	20	7	4	1	0	7	0	2
Glyma.13G318100	0	0	0	0	0	0	0	0	22	4	13	6	1	11	2	4
Glyma.13G318700	0	0	0	0	0	0	0	0	3	12	7	3	3	25	2	1
Glyma.13G318900	0	0	0	0	0	0	0	0	25	5	10	2	2	15	1	2
Glyma.13G320000	0	0	0	0	0	0	0	0	20	4	18	1	0	8	1	2
Glyma.13G320300	0	0	0	0	0	0	0	0	21	5	17	1	2	3	5	2
Glyma.13G320400	0	0	0	0	0	0	0	0	30	2	16	3	0	15	2	0
Glyma.13G320500	0	0	0	0	0	0	0	0	14	5	15	3	2	9	1	0
Glyma.13G320700	0	0	0	0	0	0	0	0	17	1	13	0	0	7	0	1
Glyma.13G321000	0	0	0	0	0	0	0	0	23	11	25	0	1	21	13	1
Glyma.13G321700	0	0	0	0	0	0	0	0	30	3	19	1	3	4	2	0
Glyma.13G322200	0	0	0	0	0	0	0	0	40	2	16	4	1	18	1	0
Glyma.13G322800	0	0	0	0	0	0	0	0	26	3	20	2	1	7	5	3
Glyma.13G323200	0	0	0	0	0	0	0	0	29	5	15	5	1	8	1	0
Glyma.13G325600	0	0	0	0	0	0	0	0	21	1	17	0	0	10	1	1
Glyma.13G325800	0	0	0	0	0	0	0	0	16	1	11	2	3	6	3	1
Glyma.13G326000	0	0	0	0	0	0	0	0	42	9	10	0	2	8	0	2
Glyma.13G328300	0	0	0	0	0	0	0	0	30	11	20	4	3	19	3	4
Glyma.13G328600	0	0	0	0	0	0	0	0	21	1	6	2	3	7	3	3
Glyma.13G330100	0	0	0	0	0	0	0	0	35	5	15	4	2	9	5	1
Glyma.13G330200	0	0	0	0	0	0	0	0	18	17	8	2	1	5	11	0
Glyma.13G331900	0	0	0	0	0	0	0	0	21	3	9	2	2	7	5	8
Glyma.13G333000	0	0	0	0	0	0	0	0	19	1	13	1	0	6	12	2
Glyma.13G333200	0	0	0	0	0	0	0	0	8	7	10	30	5	12	1	1
Glyma.13G333300	0	0	0	0	0	0	0	0	17	6	8	4	0	16	5	1
Glyma.13G333700	0	0	0	0	0	0	0	0	21	3	10	0	1	3	1	0
Glyma.13G333900	0	0	0	0	0	0	0	0	25	1	9	0	2	7	3	10
Glyma.13G334500	0	0	0	0	0	0	0	0	22	7	4	2	1	22	1	12
Glyma.13G335100	0	0	0	0	0	0	0	0	18	1	8	4	1	9	3	1
Glyma.13G335300	0	0	0	0	0	0	0	0	31	2	9	0	2	8	1	4
Glyma.13G337100	0	0	0	0	0	0	0	0	22	0	15	0	0	4	1	0
Glyma.13G337300	0	0	0	0	0	0	0	0	22	2	20	2	0	14	3	3
Glyma.13G338600	0	0	0	0	0	0	0	0	20	4	23	2	0	8	1	1
Glyma.13G338700	0	0	0	0	0	0	0	0	24	1	6	1	0	9	2	0
Glyma.13G339600	0	0	0	0	0	0	0	0	20	6	15	1	1	5	2	0
Glyma.13G340100	0	0	0	0	0	0	0	0	17	7	5	2	0	15	4	3
Glyma.13G340600	0	0	0	0	0	0	0	0	25	6	24	0	1	8	2	0
Glyma.13G344000	0	0	0	0	0	0	0	0	18	0	9	0	0	0	2	6
Glyma.13G345000	0	0	0	0	0	0	0	0	22	6	20	2	2	11	3	2
Glyma.13G346200	0	0	0	0	0	0	0	0	20	1	28	0	0	6	1	0
Glyma.13G347400	0	0	0	0	0	0	0	0	20	3	7	0	1	4	6	3
Glyma.13G349100	0	0	0	0	0	0	0	0	16	5	6	4	5	10	0	0
Glyma.13G350700	0	0	0	0	0	0	0	0	6	5	5	1	1	41	5	5
Glyma.13G351300	0	0	0	0	0	0	0	0	24	4	25	3	0	13	2	2
Glyma.13G354300	0	0	0	0	0	0	0	0	13	3	11	2	0	17	1	0
Glyma.13G354600	0	0	0	0	0	0	0	0	43	14	27	6	1	23	5	4
Glyma.13G355800	0	0	0	0	0	0	0	0	21	4	19	3	0	8	2	1
Glyma.13G356200	0	0	0	0	0	0	0	0	26	2	16	2	0	10	0	1
Glyma.13G357300	0	0	0	0	0	0	0	0	13	6	16	6	0	4	1	2
Glyma.13G357700	0	0	0	0	0	0	0	0	25	2	18	5	1	6	1	0
Glyma.13G358800	0	0	0	0	0	0	0	0	22	7	8	14	3	5	3	3
Glyma.13G359800	0	0	0	0	0	0	0	0	11	3	22	2	0	5	1	0
Glyma.13G361000	0	0	0	0	0	0	0	0	18	10	14	5	0	1	3	1
Glyma.13G361200	0	0	0	0	0	0	0	0	21	4	5	4	2	14	3	5
Glyma.13G362400	0	0	0	0	0	0	0	0	19	7	16	4	4	16	2	2
Glyma.13G363200	0	0	0	0	0	0	0	0	18	4	10	4	0	6	2	1
Glyma.13G363400	0	0	0	0	0	0	0	0	38	2	23	1	3	18	3	2
Glyma.13G363900	0	0	0	0	0	0	0	0	30	11	7	4	2	20	0	1
Glyma.13G366700	0	0	0	0	0	0	0	0	20	3	11	2	2	8	1	1
Glyma.13G369900	0	0	0	0	0	0	0	0	8	6	10	3	3	15	3	1
Glyma.13G370700	0	0	0	0	0	0	0	0	19	2	11	4	0	16	2	1
Glyma.13G371300	0	0	0	0	0	0	0	0	22	7	23	4	1	9	1	1
Glyma.13G371400	0	0	0	0	0	0	0	0	19	6	4	12	3	18	1	2
Glyma.13G372000	0	0	0	0	0	0	0	0	20	4	17	3	2	27	1	2
Glyma.13G372300	0	0	0	0	0	0	0	0	23	3	10	5	0	15	0	1
Glyma.U009202	0	0	0	0	0	0	0	0	33	4	43	4	1	20	12	4
Glyma.14G000050	0	0	0	0	0	0	0	0	19	4	7	0	0	12	0	1
Glyma.14G001900	0	0	0	0	0	0	0	0	23	2	18	3	5	3	6	0
Glyma.14G005100	0	0	0	0	0	0	0	0	41	2	22	3	2	15	8	1
Glyma.14G005300	0	0	0	0	0	0	0	0	24	3	1	0	1	25	4	14
Glyma.14G008800	0	0	0	0	0	0	0	0	20	3	18	0	1	11	1	0
Glyma.14G010400	0	0	0	0	0	0	0	0	28	1	7	0	0	6	2	1
Glyma.14G010700	0	0	0	0	0	0	0	0	31	4	6	0	6	3	4	0
Glyma.14G011300	0	0	0	0	0	0	0	0	17	7	11	4	2	9	0	2
Glyma.14G012700	0	0	0	0	0	0	0	0	24	2	12	5	2	16	3	2
Glyma.14G014300	0	0	0	0	0	0	0	0	29	7	16	3	0	11	2	2
Glyma.14G015800	0	0	0	0	0	0	0	0	11	5	12	1	0	9	0	2
Glyma.14G016900	0	0	0	0	0	0	0	0	22	4	12	5	0	6	3	2
Glyma.14G018000	0	0	0	0	0	0	0	0	46	9	22	0	4	21	4	1
Glyma.14G018700	0	0	0	0	0	0	0	0	24	6	13	2	1	6	2	0
Glyma.14G019100	0	0	0	0	0	0	0	0	18	1	8	0	1	8	2	0
Glyma.14G022400	0	0	0	0	0	0	0	0	19	7	9	7	4	19	0	1
Glyma.14G022800	0	0	0	0	0	0	0	0	21	1	15	1	1	9	0	2
Glyma.14G024000	0	0	0	0	0	0	0	0	23	5	10	1	0	15	4	0
Glyma.14G024100	0	0	0	0	0	0	0	0	31	5	27	1	1	21	5	0
Glyma.14G024500	0	0	0	0	0	0	0	0	32	2	8	3	3	13	1	0
Glyma.14G025400	0	0	0	0	0	0	0	0	17	9	11	1	1	14	0	0
Glyma.14G025900	0	0	0	0	0	0	0	0	21	5	11	1	0	13	5	1
Glyma.14G029100	0	0	0	0	0	0	0	0	34	12	7	12	1	2	3	0
Glyma.14G029500	0	0	0	0	0	0	0	0	23	4	18	6	2	10	6	2
Glyma.14G029901	0	0	0	0	0	0	0	0	36	6	14	4	4	15	0	8
Glyma.14G030500	0	0	0	0	0	0	0	0	19	7	11	5	1	13	2	2
Glyma.14G034000	0	0	0	0	0	0	0	0	11	5	28	0	0	4	3	1
Glyma.14G035700	0	0	0	0	0	0	0	0	22	6	10	3	0	11	1	0
Glyma.14G039600	0	0	0	0	0	0	0	0	20	3	19	3	2	12	3	1
Glyma.14G041100	0	0	0	0	0	0	0	0	13	4	14	2	1	14	2	5
